board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
3/4/7/7/6/5/7/7/7 3 3,Z,2,0.75,BLOCK,Z,0.7235222,0.6307529
3/6/7/7/4/5/7/7/7 3 3,X,2,0.375,BLOCK,X,1.17266,1.223087
3/6/7/7/6/1/7/7/7 3 3,Z,-2,0.375,BLOCK,Z,1.337698,1.051312
3/4/7/7/6/3/7/7/7 3 3,Z,2.1052631578947368421052631578,0.625,BLOCK,Z,0.908303,0.5873699
3/6/7/6/6/3/7/7/7 3 3,Z,0.5769230769230769230769230769,300.0625,TIMEOUT,Z,0.3711935,0.2669194
3/6/7/7/4/3/7/7/7 3 3,X,2,0.375,BLOCK,X,1.096338,1.178311
3/4/7/7/6/7/6/7/7 3 3,Z,2,0.75,BLOCK,Z,0.7304488,0.4983702
3/6/7/7/4/7/6/7/7 3 3,X,1.8181818181818181818181818182,0.375,BLOCK,X,1.135882,1.17858
3/6/7/7/6/7/4/7/7 3 3,X,2,0.375,BLOCK,X,1.435506,0.9612019
3/4/7/7/6/7/5/7/7 3 3,Z,2,0.75,BLOCK,Z,0.7127588,0.4372554
3/6/7/7/4/7/5/7/7 3 3,X,2,0.375,BLOCK,X,1.037082,1.090901
3/6/7/7/6/7/1/7/7 3 3,X,-2,0.375,BLOCK,X,1.390345,0.765731
3/4/7/7/6/7/3/7/7 3 3,Z,2,0.75,BLOCK,Z,0.8324203,0.4740719
3/6/7/7/4/7/3/7/7 3 3,X,2.1818181818181818181818181818,0.3125,BLOCK,X,1.441081,1.171169
3/6/7/7/6/7/3/5/7 3 3,X,0.6,300.0625,TIMEOUT,Z,0.2081299,0.1023971
3/4/7/7/6/7/7/6/7 3 3,Z,1.8947368421052631578947368422,0.75,BLOCK,Z,0.7464597,0.5298143
3/6/7/7/4/7/7/6/7 3 3,X,2,0.375,BLOCK,X,1.088761,1.115754
3/6/7/7/6/7/7/4/7 3 3,Z,2,0.375,BLOCK,Z,1.602792,1.164512
3/4/7/7/6/7/7/5/7 3 3,Z,2,0.6875,BLOCK,Z,0.8111373,0.5868137
3/6/7/7/4/7/7/5/7 3 3,X,2,0.375,BLOCK,X,1.184044,1.120527
3/6/7/7/6/7/7/1/7 3 3,Z,-2,0.3125,BLOCK,Z,1.62447,1.045954
3/4/7/7/6/7/7/3/7 3 3,Z,2.1052631578947368421052631578,0.75,BLOCK,Z,0.7759894,0.4649107
3/6/3/7/6/7/7/3/7 3 3,X,-0.5625,4.1875,BLOCK,X,0.7776297,0.524509
