board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
3/3/7/7/2/7/6/7/7 3 3,X,-0.55,7.6875,SLEEP,Z,0.1251494,0.4166976
3/3/7/7/2/7/5/7/7 3 3,X,-0.5,8.5,SLEEP,Z,0.1402077,0.4017814
3/3/7/7/2/7/3/7/7 3 3,Z,-0.5,11.8125,SLEEP,Z,0.1107027,0.430169
3/3/7/7/2/7/7/6/7 3 3,Z,-0.5555555555555555555555555555,8.1875,SLEEP,Z,0.09386476,0.3730471
3/3/7/7/2/7/7/5/7 3 3,X,-0.5,7.1875,SLEEP,Z,0.1020045,0.3861013
3/3/7/7/2/7/7/3/7 3 3,X,-0.5,8.5,SLEEP,Z,0.1550493,0.4834956
3/3/7/7/2/7/7/7/6 3 3,X,-0.55,10.3125,SLEEP,Z,0.1191893,0.4670784
3/3/7/7/2/7/7/7/5 3 3,X,-0.5,9.5625,SLEEP,Z,0.135438,0.467018
3/3/7/7/2/7/7/7/3 3 3,Z,-0.5,9.6875,SLEEP,Z,0.1687713,0.4753101
3/3/7/7/6/2/7/7/7 3 3,X,-0.55,8.1875,SLEEP,Z,0.1634367,0.3989767
3/3/7/7/6/6/6/7/7 3 3,X,-0.6000000000000000000000000001,12.875,SLEEP,Z,0.2286246,0.4965398
3/3/7/7/6/6/3/7/7 3 3,X,0.60,7.9375,SLEEP,Z,0.2590854,0.5238452
3/3/7/7/6/6/7/6/7 3 3,Z,-0.6111111111111111111111111112,13.75,SLEEP,Z,0.211019,0.6061674
3/3/7/7/6/6/7/5/7 3 3,Z,-0.5555555555555555555555555555,9.3125,SLEEP,Z,0.1781678,0.439925
3/3/7/7/6/6/7/3/7 3 3,Z,0.625,11.3125,SLEEP,Z,0.2915977,0.6230031
3/3/7/7/6/6/7/7/6 3 3,X,-0.6000000000000000000000000001,10.75,SLEEP,Z,0.2578823,0.6060757
3/3/7/7/6/6/7/7/5 3 3,Z,-0.5555555555555555555555555555,10.5625,SLEEP,Z,0.1834398,0.523289
3/3/7/7/6/6/7/7/3 3 3,X,0.60,6.125,SLEEP,Z,0.2207876,0.4328901
3/3/7/7/6/5/6/7/7 3 3,X,-0.6000000000000000000000000001,10.0625,SLEEP,Z,0.200868,0.5122994
3/3/7/7/6/5/5/7/7 3 3,X,-0.55,7.5,SLEEP,Z,0.1215751,0.357509
3/3/7/7/6/5/3/7/7 3 3,X,0.60,7,SLEEP,Z,0.171038,0.4672011
3/3/7/7/6/5/7/6/7 3 3,Z,-0.5555555555555555555555555555,7.4375,SLEEP,Z,0.1502881,0.4331126
3/3/7/7/6/5/7/5/7 3 3,X,-0.55,9.125,SLEEP,Z,0.158177,0.5195737
3/3/7/7/6/5/7/3/7 3 3,X,-0.55,9.9375,SLEEP,Z,0.1618892,0.4845685
3/3/7/7/6/5/7/7/6 3 3,X,-0.6000000000000000000000000001,9,SLEEP,Z,0.1483676,0.5050787
3/3/7/7/6/5/7/7/5 3 3,X,-0.55,7.4375,SLEEP,Z,0.1109876,0.4026864
3/3/7/7/6/5/7/7/3 3 3,X,0.60,11.0625,SLEEP,Z,0.1701559,0.4708739
3/3/7/7/6/3/6/7/7 3 3,X,-0.6000000000000000000000000001,7.6875,SLEEP,Z,0.1542242,0.4287243
3/3/7/7/6/7/2/7/7 3 3,X,-0.55,13.1875,SLEEP,Z,0.1908774,0.5662104
3/3/7/7/6/7/6/6/7 3 3,X,-0.6000000000000000000000000001,16.8125,SLEEP,Z,0.1735842,0.5416777
3/3/7/7/6/7/6/5/7 3 3,X,-0.6000000000000000000000000001,10.625,SLEEP,Z,0.2189355,0.5662483
3/3/7/7/6/7/6/3/7 3 3,X,-0.6000000000000000000000000001,10.625,SLEEP,Z,0.1989221,0.5444406
3/3/7/7/6/7/6/7/5 3 3,X,-0.6000000000000000000000000001,15.3125,SLEEP,Z,0.2012989,0.6337888
3/3/7/7/6/7/6/7/3 3 3,X,0.7,12.1875,SLEEP,Z,0.2146401,0.5367498
3/3/7/7/6/6/5/7/7 3 3,Z,-0.5555555555555555555555555555,8.5,SLEEP,Z,0.1353883,0.4243897
3/3/7/7/6/3/5/7/7 3 3,X,-0.55,10.8125,SLEEP,Z,0.1406225,0.4709556
3/3/7/7/6/7/5/6/7 3 3,Z,-0.5555555555555555555555555555,15.875,SLEEP,Z,0.152881,0.5101241
3/3/7/7/6/7/5/5/7 3 3,X,-0.55,13.4375,SLEEP,Z,0.1456043,0.4780743
3/3/7/7/6/7/5/3/7 3 3,X,-0.55,8.8125,SLEEP,Z,0.1269559,0.3547179
3/3/7/7/6/7/5/7/6 3 3,X,-0.6000000000000000000000000001,11.75,SLEEP,Z,0.1260358,0.5160219
3/3/7/7/6/7/5/7/5 3 3,X,-0.55,6.4375,SLEEP,Z,0.1616504,0.448221
3/3/7/7/6/7/5/7/3 3 3,X,0.6,6.625,SLEEP,Z,0.1504306,0.414358
3/3/7/7/6/3/3/7/7 3 3,X,0.60,8.0625,SLEEP,Z,0.1474623,0.3889407
3/3/7/7/6/7/3/6/7 3 3,X,0.6,12.5,SLEEP,Z,0.1869427,0.4997028
3/3/7/7/6/7/3/5/7 3 3,X,0.6,11.875,SLEEP,Z,0.1856357,0.5090722
3/3/7/7/6/7/3/3/7 3 3,X,0.6,8.375,SLEEP,Z,0.2219942,0.5583507
3/3/7/7/6/7/3/7/6 3 3,X,-0.7,6.75,SLEEP,Z,0.1417463,0.4524852
3/3/7/7/6/7/3/7/5 3 3,X,0.6,7.3125,SLEEP,Z,0.1327767,0.4175757
3/3/7/7/6/7/3/7/3 3 3,X,0.7,9.8125,SLEEP,Z,0.1418935,0.4091914
3/3/7/7/6/3/7/6/7 3 3,Z,-0.625,14.6875,SLEEP,Z,0.1449102,0.5247667
3/3/7/7/6/7/7/6/6 3 3,X,-0.6000000000000000000000000001,5.125,SLEEP,Z,0.1491913,0.5834067
3/3/7/7/6/7/7/6/5 3 3,Z,-0.5555555555555555555555555555,14.3125,SLEEP,Z,0.163311,0.5717476
3/3/7/7/6/7/7/6/3 3 3,X,0.6,6.375,SLEEP,Z,0.1361016,0.364951
3/3/7/7/6/3/7/5/7 3 3,X,-0.55,8.5,SLEEP,Z,0.157096,0.4983956
3/3/7/7/6/7/7/5/6 3 3,X,-0.6000000000000000000000000001,9.625,SLEEP,Z,0.111117,0.4636517
3/3/7/7/6/7/7/5/5 3 3,X,-0.55,10.375,SLEEP,Z,0.1626935,0.565453
3/3/7/7/6/7/7/5/3 3 3,X,0.6,8.125,SLEEP,Z,0.1622051,0.3762599
3/3/7/7/6/3/7/3/7 3 3,X,-0.55,6.5625,SLEEP,Z,0.1022378,0.3791578
3/3/7/7/6/7/7/2/7 3 3,X,-0.55,7.9375,SLEEP,Z,0.1265638,0.413685
3/3/7/7/6/7/7/3/6 3 3,X,-0.6000000000000000000000000001,4.8125,SLEEP,Z,0.1351928,0.4329273
3/3/7/7/6/7/7/3/5 3 3,X,-0.55,8.3125,SLEEP,Z,0.163756,0.4576995
3/3/7/7/6/7/7/3/3 3 3,X,0.6,5,SLEEP,Z,0.1115634,0.3761769
3/3/7/7/6/3/7/7/6 3 3,X,-0.6000000000000000000000000001,8.75,SLEEP,Z,0.1345048,0.4287376
3/3/7/7/6/7/6/7/6 3 3,X,-0.65,9,SLEEP,Z,0.1219509,0.4879488
3/3/7/7/6/7/7/7/4 3 3,X,-0.6000000000000000000000000001,13.0625,SLEEP,Z,0.1327247,0.5873827
3/3/7/7/6/7/7/7/2 3 3,X,-0.55,9.875,SLEEP,Z,0.1873572,0.5288977
3/3/7/3/6/7/7/7/5 3 3,X,-0.55,10.0625,SLEEP,Z,0.143265,0.4538682
3/3/7/7/6/3/7/7/5 3 3,X,-0.55,5.9375,SLEEP,Z,0.1427264,0.3707839
3/3/7/7/6/7/7/7/1 3 3,X,0.6,5.8125,SLEEP,Z,0.09150359,0.3944574
3/3/7/7/6/3/7/7/3 3 3,X,0.60,8.625,SLEEP,Z,0.1988505,0.4068365
3/3/7/3/5/6/7/7/7 3 3,Z,-0.5769230769230769230769230769,9.9375,SLEEP,Z,0.1147537,0.416602
3/3/7/3/5/5/7/7/7 3 3,X,-0.5,7.4375,SLEEP,Z,0.1108504,0.4317569
3/3/7/3/5/7/6/7/7 3 3,X,-0.55,11,SLEEP,Z,0.1632619,0.5978078
3/3/7/3/5/7/5/7/7 3 3,X,-0.5,9.6875,SLEEP,Z,0.1194629,0.4978532
3/3/7/3/5/7/3/7/7 3 3,Z,-0.5,5.3125,SLEEP,Z,0.09868753,0.4063749
3/3/7/3/5/7/7/6/7 3 3,Z,-0.5769230769230769230769230769,10.6875,SLEEP,Z,0.1297292,0.4492755
3/3/7/3/5/7/7/5/7 3 3,X,-0.5,9.6875,SLEEP,Z,0.1451617,0.5438858
3/3/7/3/5/7/7/3/7 3 3,X,-0.5,8.3125,SLEEP,Z,0.1323977,0.4704912
3/3/7/3/5/7/7/7/6 3 3,X,-0.55,9.9375,SLEEP,Z,0.1434212,0.5593631
3/3/7/3/5/7/7/7/5 3 3,X,-0.5,15.5,SLEEP,Z,0.09291697,0.374143
3/3/7/3/5/7/7/7/3 3 3,Z,-0.5,11.3125,SLEEP,Z,0.09342323,0.3696581
3/3/7/7/5/2/7/7/7 3 3,X,-0.5,211.5,SLEEP,Z,0.148999,0.4600003
3/3/7/7/5/6/6/7/7 3 3,Z,-0.5555555555555555555555555555,6,SLEEP,Z,0.1213504,0.4201572
3/3/7/7/5/6/5/7/7 3 3,Z,-0.5555555555555555555555555555,8.9375,SLEEP,Z,0.1663275,0.4417762
3/3/7/7/5/6/3/7/7 3 3,Z,-0.5555555555555555555555555555,7.6875,SLEEP,Z,0.1359047,0.4251834
3/3/7/7/5/6/7/6/7 3 3,Z,-0.6111111111111111111111111112,17.875,SLEEP,Z,0.1477318,0.4998963
3/3/7/7/5/6/7/5/7 3 3,Z,-0.5555555555555555555555555555,17.25,SLEEP,Z,0.1339585,0.3898682
3/3/7/7/5/6/7/3/7 3 3,Z,0.625,6.875,SLEEP,Z,0.1628019,0.442905
3/3/7/7/5/6/7/7/6 3 3,Z,-0.5555555555555555555555555555,9.1875,SLEEP,Z,0.1386674,0.5320385
3/3/7/7/5/6/7/7/5 3 3,Z,-0.5555555555555555555555555555,16.8125,SLEEP,Z,0.1585468,0.4636747
3/3/7/7/5/6/7/7/3 3 3,Z,-0.5555555555555555555555555555,8.125,SLEEP,Z,0.1381317,0.4497882
3/3/7/7/5/5/6/7/7 3 3,X,-0.55,7.25,SLEEP,Z,0.147183,0.5311768
3/3/7/7/5/5/5/7/7 3 3,X,-0.5,45.625,SLEEP,Z,0.06600381,0.3992944
3/3/7/7/5/5/7/5/7 3 3,X,-0.5,11.6875,SLEEP,Z,0.09070322,0.4313144
3/3/7/7/5/5/7/3/7 3 3,X,-0.5,9.9375,SLEEP,Z,0.08543689,0.383732
