board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
7/7/6/7/5/3/6/7/5 3 3,Z,-0.5,2.375,SLEEP,Z,0.1318735,0.2780029
7/7/6/7/5/3/6/7/3 3 3,X,0.7,3.5,SLEEP,Z,0.1255662,0.3322
7/7/6/7/5/3/5/6/7 3 3,Z,-0.6428571428571428571428571429,3.125,SLEEP,Z,0.1368742,0.34629
7/7/6/7/5/3/5/5/7 3 3,X,0.5,2.5,SLEEP,Z,0.1135733,0.2950363
7/7/6/7/5/3/5/3/7 3 3,X,0.5,2.25,SLEEP,Z,0.09073178,0.3205836
7/7/6/7/5/3/5/7/6 3 3,Z,-0.5,1.125,SLEEP,Z,0.09926821,0.2803926
7/7/6/7/5/3/5/7/5 3 3,X,0.5,1.75,SLEEP,Z,0.09047231,0.3319816
7/7/6/7/5/3/5/7/3 3 3,X,0.5714285714285714285714285714,3.75,SLEEP,Z,0.1139809,0.343894
7/7/6/7/5/3/3/6/7 3 3,Z,-0.6428571428571428571428571429,2.625,SLEEP,Z,0.1022392,0.3888544
7/7/6/7/5/3/3/5/7 3 3,X,0.5714285714285714285714285714,2.125,SLEEP,Z,0.07165521,0.3441597
7/7/6/7/5/3/3/3/7 3 3,X,0.5714285714285714285714285714,3.125,SLEEP,Z,0.09415211,0.2382885
7/7/6/7/5/3/3/7/6 3 3,X,-0.7,2.25,SLEEP,Z,0.125735,0.4140282
7/7/6/7/5/3/3/7/5 3 3,X,0.5714285714285714285714285714,2.875,SLEEP,Z,0.08295232,0.3388855
7/7/6/7/5/3/3/7/3 3 3,X,0.6428571428571428571428571428,3.75,SLEEP,Z,0.1047663,0.2622374
7/7/6/7/5/3/7/2/7 3 3,X,0.5,4,SLEEP,Z,0.1135197,0.2234498
7/7/6/7/5/3/7/6/6 3 3,Z,-0.6428571428571428571428571429,2.5,SLEEP,Z,0.1172191,0.3122804
7/7/6/7/5/3/7/6/5 3 3,Z,-0.6428571428571428571428571429,3.25,SLEEP,Z,0.1235164,0.2620177
7/7/6/7/5/3/7/6/3 3 3,Z,-0.6428571428571428571428571429,3,SLEEP,Z,0.138856,0.3437547
7/7/6/7/5/3/7/5/6 3 3,Z,-0.5,2.375,SLEEP,Z,0.07970686,0.3034501
7/7/6/7/5/3/7/5/5 3 3,X,0.5,2.875,SLEEP,Z,0.05572676,0.1364858
