board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
7/3/7/1/7/3/7/7/6 3 3,Z,-1.8461538461538461538461538462,0.5,BLOCK,Z,1.028992,0.4998883
6/3/7/5/7/3/7/7/5 3 3,X,0.5,300.125,TIMEOUT,Z,0.1347417,0.1067093
7/3/7/1/7/3/7/7/5 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,Z,0.9634139,0.5986609
7/3/7/1/7/3/7/7/3 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,Z,0.9720135,0.5224823
7/3/7/1/7/7/2/7/7 3 3,Z,-2,0.5,BLOCK,Z,0.9556541,0.5483106
7/3/7/1/7/7/6/6/7 3 3,Z,-2.1538461538461538461538461538,0.625,BLOCK,Z,1.021706,0.7074873
7/3/7/5/7/7/4/6/7 3 3,X,2,0.5,BLOCK,X,1.322324,0.9175078
7/3/7/5/7/7/6/4/7 3 3,Z,2,0.375,BLOCK,Z,1.596496,1.020303
7/3/7/1/7/7/6/5/7 3 3,Z,-2,0.625,BLOCK,Z,0.9523659,0.530884
7/3/7/5/7/7/4/5/7 3 3,X,2,0.375,BLOCK,X,1.4143,0.8274313
7/3/7/5/7/7/6/1/7 3 3,Z,-2,0.375,BLOCK,Z,1.684504,1.044995
7/3/7/1/7/7/6/3/7 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,Z,0.95143,0.5889138
7/3/7/5/7/7/4/3/7 3 3,X,2,0.5,BLOCK,X,1.408437,0.8780425
7/3/3/5/7/7/6/7/6 3 3,X,-0.6333333333333333333333333333,300.125,TIMEOUT,Z,0.04308856,0.02127672
7/3/7/1/7/7/6/7/6 3 3,Z,-2,0.625,BLOCK,Z,1.000906,0.6224337
7/3/7/5/7/7/4/7/6 3 3,X,1.6,0.375,BLOCK,X,1.259841,0.7623828
7/3/7/1/7/7/6/7/5 3 3,Z,-2,0.625,BLOCK,Z,0.9896461,0.6192405
7/3/7/5/7/7/4/7/5 3 3,X,2,0.375,BLOCK,X,1.415309,0.9528311
7/3/7/1/7/7/6/7/3 3 3,Z,-2,0.625,BLOCK,Z,0.9975736,0.547832
7/3/7/5/7/7/4/7/3 3 3,X,2.4,0.375,BLOCK,X,1.615294,0.9803411
7/3/7/1/7/7/5/6/7 3 3,Z,-2.1538461538461538461538461538,0.5,BLOCK,Z,0.9906033,0.6342264
7/3/7/5/7/7/1/6/7 3 3,X,-2,0.5,BLOCK,X,1.38898,0.8369235
7/3/7/5/7/7/5/4/7 3 3,Z,2,0.375,BLOCK,Z,1.596374,1.004867
3/3/7/5/7/7/5/5/7 3 3,X,-0.5,300.125,TIMEOUT,Z,0.06980858,0.03131178
7/3/7/1/7/7/5/5/7 3 3,Z,-2,0.625,BLOCK,Z,1.010406,0.5338369
7/3/7/5/7/7/1/5/7 3 3,X,-2,0.375,BLOCK,X,1.368979,0.7798489
7/3/7/5/7/7/5/1/7 3 3,Z,-2,0.375,BLOCK,Z,1.800429,1.119965
7/3/7/1/7/7/5/3/7 3 3,Z,-1.8461538461538461538461538462,0.75,BLOCK,Z,0.9305702,0.6045505
7/3/7/5/7/7/1/3/7 3 3,X,-2,0.375,BLOCK,X,1.367141,0.8168115
7/3/7/1/7/7/5/7/6 3 3,Z,-2,0.625,BLOCK,Z,1.052044,0.6326057
7/3/7/5/7/7/1/7/6 3 3,X,-2.4,0.375,BLOCK,X,1.616721,0.9510378
7/3/7/1/7/7/5/7/5 3 3,Z,-2,0.625,BLOCK,Z,0.9474553,0.6580271
7/3/7/5/7/7/1/7/5 3 3,X,-2,0.5,BLOCK,X,1.410297,0.8469002
7/3/7/1/7/7/5/7/3 3 3,Z,-2,0.625,BLOCK,Z,1.024713,0.5160791
7/3/7/5/7/7/1/7/3 3 3,X,-1.6,0.375,BLOCK,X,1.25043,0.7223803
7/3/7/1/7/7/3/6/7 3 3,Z,-2.1538461538461538461538461538,0.625,BLOCK,Z,0.9808272,0.6827517
7/3/7/5/7/7/3/4/7 3 3,Z,2,0.375,BLOCK,Z,1.581267,0.9965913
7/3/7/1/7/7/3/5/7 3 3,Z,-2,0.625,BLOCK,Z,0.9365688,0.5114517
7/3/7/5/7/7/3/1/7 3 3,Z,-2,0.375,BLOCK,Z,1.602563,1.053811
7/3/7/1/7/7/3/3/7 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,Z,0.9513859,0.6041645
7/3/7/1/7/7/3/7/6 3 3,Z,-2,0.625,BLOCK,Z,1.004201,0.6308846
7/3/7/1/7/7/3/7/5 3 3,Z,-2,0.5,BLOCK,Z,1.016008,0.672009
