pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
4/6/7/7/7/7/7/7/7 3 3,X,2,0.8400879,PLANE,0.5551066,7,0.2307453,1E+16
6/4/7/7/7/7/7/7/7 3 3,Z,2,0.7399902,BLOCK,0.5390781,7,0.3960158,1E+16
4/5/7/7/7/7/7/7/7 3 3,X,2,0.8198242,PLANE,0.5338635,7,0.3204717,1E+16
6/1/7/7/7/7/7/7/7 3 3,Z,-2,0.7800293,BLOCK,0.6205378,7,0.3810025,1E+16
4/3/7/7/7/7/7/7/7 3 3,X,2,0.8400879,PLANE,0.279513,7,0.1503365,1E+16
6/3/7/7/6/7/7/7/7 3 3,Z,-0.5,300.02,TIMEOUT,0.09498097,7,0.0873512,1E+16
4/7/6/7/7/7/7/7/7 3 3,X,1.9130434782608695652173913044,0.8601074,PLANE,0.3543591,7,0.2004696,1E+16
6/7/4/7/7/7/7/7/7 3 3,X,2,0.6799316,BLOCK,0.7249471,7,0.4318288,1E+16
4/7/5/7/7/7/7/7/7 3 3,X,2,0.8400879,PLANE,0.468462,7,0.4070943,1E+16
6/7/1/7/7/7/7/7/7 3 3,X,-2,0.3400879,BLOCK,0.6024754,7,1.168767,1E+16
4/7/3/7/7/7/7/7/7 3 3,X,2.0869565217391304347826086956,0.4001465,PLANE,0.3976356,7,0.31107,1E+16
4/7/7/6/7/7/7/7/7 3 3,X,2,0.8398438,PLANE,0.4025108,7,0.2882832,1E+16
6/7/7/4/7/7/7/7/7 3 3,Z,2,0.579834,BLOCK,0.654491,7,0.7076693,1E+16
4/7/7/5/7/7/7/7/7 3 3,X,2,0.8400879,PLANE,0.5136785,7,0.3727654,1E+16
6/3/7/5/7/7/7/7/7 3 3,X,0.5,300.0198,TIMEOUT,0.1083775,7,0.08577651,1E+16
6/7/7/1/7/7/7/7/7 3 3,Z,-2,0.5803223,BLOCK,0.5539845,7,0.5290009,1E+16
4/7/7/3/7/7/7/7/7 3 3,X,2,0.840332,PLANE,0.3330705,7,0.2709661,1E+16
6/6/7/3/7/7/7/7/7 3 3,Z,0.55,300.02,TIMEOUT,0.09020471,7,0.0452085,1E+16
4/7/7/7/6/7/7/7/7 3 3,X,1.9130434782608695652173913044,0.8598633,PLANE,0.3331317,7,0.2530722,1E+16
6/7/7/7/4/7/7/7/7 3 3,X,2,0.5,BLOCK,0.6063661,7,0.7315821,1E+16
4/7/7/7/5/7/7/7/7 3 3,X,2,0.8398438,PLANE,0.3832331,7,0.3024247,1E+16
6/7/7/7/1/7/7/7/7 3 3,X,-2,0.3598633,BLOCK,0.6555246,7,0.7676212,1E+16
4/7/7/7/3/7/7/7/7 3 3,X,2.0869565217391304347826086956,0.6201172,PLANE,0.1513104,7,0.1902207,1E+16
4/7/7/7/7/6/7/7/7 3 3,X,2,0.8398438,PLANE,0.1922085,7,0.2110059,1E+16
6/7/7/7/7/4/7/7/7 3 3,Z,2,0.4404297,BLOCK,0.6795764,7,0.7158961,1E+16
4/7/7/7/7/5/7/7/7 3 3,X,2,0.8198242,PLANE,0.4979392,7,0.4251609,1E+16
6/7/7/7/7/1/7/7/7 3 3,Z,-2,0.4399414,BLOCK,1.21878,7,0.7752541,1E+16
4/7/7/7/7/3/7/7/7 3 3,X,2,0.8203125,PLANE,0.5056725,7,0.3554595,1E+16
4/7/7/7/7/7/6/7/7 3 3,X,1.9130434782608695652173913044,0.8603516,PLANE,0.2116069,7,0.2492969,1E+16
6/7/7/7/7/7/4/7/7 3 3,X,2,0.4204102,BLOCK,0.3279108,7,0.5947939,1E+16
4/7/7/7/7/7/5/7/7 3 3,X,2,0.8203125,PLANE,0.5688294,7,0.3559106,1E+16
6/7/7/7/7/7/1/7/7 3 3,X,-2,0.3598633,BLOCK,0.5290416,7,0.5023615,1E+16
4/7/7/7/7/7/3/7/7 3 3,X,2.0869565217391304347826086956,0.7998047,PLANE,0.2718913,7,0.1750149,1E+16
4/7/7/7/7/7/7/6/7 3 3,X,2,0.8198242,PLANE,0.42747,7,0.2694317,1E+16
6/7/7/7/7/7/7/4/7 3 3,Z,2,0.3798828,BLOCK,0.1347147,7,0.3305807,1E+16
4/7/7/7/7/7/7/5/7 3 3,X,2,0.8198242,PLANE,0.2781221,7,0.1820208,1E+16
6/7/7/7/7/7/7/1/7 3 3,Z,-2,0.3603516,BLOCK,0.3741763,7,0.4358849,1E+16
4/7/7/7/7/7/7/3/7 3 3,X,2,0.8398438,PLANE,0.1054982,7,0.169685,1E+16
4/7/7/7/7/7/7/7/6 3 3,X,1.9130434782608695652173913044,0.8203125,PLANE,0.4972118,7,0.4212665,1E+16
4/7/7/7/7/7/7/7/5 3 3,X,2,0.7998047,PLANE,0.4705151,7,0.4049703,1E+16
4/7/7/7/7/7/7/7/3 3 3,X,2.0869565217391304347826086956,0.7797852,PLANE,0.5004823,7,0.4097777,1E+16
1/6/7/7/7/7/7/7/7 3 3,X,-2,0.7998047,PLANE,0.5692803,7,0.2508831,1E+16
5/4/7/7/7/7/7/7/7 3 3,Z,2,0.7001953,BLOCK,0.5504179,7,0.3061035,1E+16
1/5/7/7/7/7/7/7/7 3 3,X,-2,0.8198242,PLANE,0.5460743,7,0.307745,1E+16
5/1/7/7/7/7/7/7/7 3 3,Z,-2,0.7202148,BLOCK,0.6185002,7,0.3862463,1E+16
1/3/7/7/7/7/7/7/7 3 3,X,-2,0.8198242,PLANE,0.4479251,7,0.1837383,1E+16
1/7/6/7/7/7/7/7/7 3 3,X,-2.0869565217391304347826086956,0.3798828,PLANE,0.5155147,7,0.3734162,1E+16
5/7/4/7/7/7/7/7/7 3 3,X,2,0.7197266,BLOCK,0.4433378,7,0.4655936,1E+16
1/7/5/7/7/7/7/7/7 3 3,X,-2,0.8198242,PLANE,0.2347642,7,0.1718126,1E+16
5/7/1/7/7/7/7/7/7 3 3,X,-2,0.6801758,BLOCK,0.7101901,7,0.4792011,1E+16
1/7/3/7/7/7/7/7/7 3 3,X,-1.9130434782608695652173913044,0.840332,PLANE,0.3853667,7,0.2207618,1E+16
1/7/7/6/7/7/7/7/7 3 3,X,-2,0.8398438,PLANE,0.1607784,7,0.2060048,1E+16
5/7/7/4/7/7/7/7/7 3 3,Z,2,0.5800781,BLOCK,0.6875268,7,0.5361242,1E+16
1/7/7/5/7/7/7/7/7 3 3,X,-2,0.8203125,PLANE,0.5362684,7,0.3696767,1E+16
5/7/7/1/7/7/7/7/7 3 3,Z,-2,0.6000977,BLOCK,0.8952651,7,0.5046382,1E+16
1/7/7/3/7/7/7/7/7 3 3,X,-2,0.8203125,PLANE,0.3750073,7,0.2865815,1E+16
1/7/7/7/6/7/7/7/7 3 3,X,-2.0869565217391304347826086956,0.5996094,PLANE,0.650731,7,0.4781236,1E+16
5/7/7/7/4/7/7/7/7 3 3,X,2,0.5,BLOCK,0.5881085,7,0.7711027,1E+16
1/7/7/7/5/7/7/7/7 3 3,X,-2,0.8198242,PLANE,0.5379981,7,0.3576387,1E+16
5/7/7/7/1/7/7/7/7 3 3,X,-2,0.5,BLOCK,0.8200806,7,0.6265257,1E+16
1/7/7/7/3/7/7/7/7 3 3,X,-1.9130434782608695652173913044,0.8598633,PLANE,0.2066917,7,0.2480455,1E+16
1/7/7/7/7/6/7/7/7 3 3,X,-2,0.800293,PLANE,0.4318216,7,0.3166944,1E+16
