board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
6/7/7/3/7/6/3/2/7 3 3,Z,-0.5909090909090909090909090909,6.25,SLEEP,Z,0.1102127,0.365068
6/7/7/3/7/6/3/6/6 3 3,X,-0.75,6.5,SLEEP,Z,0.1231935,0.3791111
6/7/7/3/7/6/3/6/5 3 3,Z,-0.6818181818181818181818181818,8,SLEEP,Z,0.1704754,0.4992444
6/7/7/3/7/6/3/6/3 3 3,Z,-0.6818181818181818181818181818,10.5,SLEEP,Z,0.1308494,0.4582669
6/7/7/3/7/6/3/5/6 3 3,X,-0.75,5,SLEEP,Z,0.2038372,0.4298996
6/7/7/3/7/6/3/5/5 3 3,Z,-0.5909090909090909090909090909,5.75,SLEEP,Z,0.1323411,0.4083092
6/7/7/3/7/6/3/5/3 3 3,X,0.6052631578947368421052631579,8.25,SLEEP,Z,0.09306252,0.3706461
6/7/7/3/7/6/3/3/6 3 3,X,-0.75,4.75,SLEEP,Z,0.1557052,0.2920985
6/7/7/3/7/6/3/3/5 3 3,Z,0.6666666666666666666666666667,7.75,SLEEP,Z,0.1075889,0.4047921
6/7/7/3/7/6/3/3/3 3 3,Z,0.6666666666666666666666666667,8.25,SLEEP,Z,0.1163825,0.4091563
6/7/7/3/7/6/3/7/4 3 3,X,-0.75,3.5,SLEEP,Z,0.2177201,0.351861
6/7/7/3/7/6/3/7/2 3 3,Z,-0.5909090909090909090909090909,5.25,SLEEP,Z,0.1222899,0.4120268
6/7/7/3/7/6/3/7/1 3 3,X,0.6052631578947368421052631579,9.25,SLEEP,Z,0.09592409,0.38489
6/7/7/3/7/6/7/2/6 3 3,Z,-0.5909090909090909090909090909,4,SLEEP,Z,0.101081,0.3376238
6/7/7/3/7/6/7/2/5 3 3,Z,-0.5909090909090909090909090909,5.75,SLEEP,Z,0.12073,0.3793506
6/7/7/3/7/6/7/2/3 3 3,Z,-0.5909090909090909090909090909,6,SLEEP,Z,0.09415631,0.3619421
6/7/7/3/7/6/7/6/4 3 3,Z,-0.6818181818181818181818181818,4.5,SLEEP,Z,0.08133744,0.3279834
6/7/7/3/7/6/7/6/2 3 3,Z,-0.6818181818181818181818181818,3.5,SLEEP,Z,0.06520947,0.277319
