board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
5/4/7/2/7/7/7/3/7 3 3,Z,2.111111111111111111111111111,0.5,BLOCK,Z,1.257575,0.7357326
1/6/7/2/7/7/7/7/6 3 3,X,-2.1,0.75,PLANE,X,0.8688289,0.4719461
5/4/7/2/7/7/7/7/6 3 3,Z,2,0.25,BLOCK,Z,1.530159,0.9205217
1/6/7/2/7/7/7/7/5 3 3,X,-2,0.75,PLANE,X,0.6811868,0.43494
5/4/7/2/7/7/7/7/5 3 3,Z,2,0.25,BLOCK,Z,1.478015,0.7776598
1/6/7/2/7/7/7/7/3 3 3,X,-1.9,0.75,PLANE,X,0.7484561,0.4098082
5/4/7/2/7/7/7/7/3 3 3,Z,2,0.5,BLOCK,Z,1.348746,0.6675732
1/6/7/6/2/7/7/7/7 3 3,X,-2,0.75,PLANE,X,0.8103352,0.6196913
5/4/7/6/2/7/7/7/7 3 3,Z,1.8888888888888888888888888888,1,BLOCK,Z,0.7732139,0.440829
5/6/7/4/2/7/7/7/7 3 3,Z,2,0.75,BLOCK,Z,0.9154782,0.6496788
1/6/7/6/6/6/7/7/7 3 3,X,-2.1,0.75,PLANE,X,0.8793473,0.6286307
5/4/7/6/6/6/7/7/7 3 3,Z,1.7777777777777777777777777778,0.75,BLOCK,Z,0.6926701,0.3590995
5/6/7/4/6/6/7/7/7 3 3,Z,1.8461538461538461538461538462,0.75,BLOCK,Z,0.8776931,0.5470535
5/6/7/6/4/6/7/7/7 3 3,X,2,0.5,BLOCK,X,0.9173493,0.7119013
5/6/7/6/6/4/7/7/7 3 3,Z,2,0.5,BLOCK,Z,1.22041,0.7118294
1/6/7/6/6/5/7/7/7 3 3,X,-2.1,0.5,PLANE,X,0.794826,0.5773393
5/4/7/6/6/5/7/7/7 3 3,Z,1.8888888888888888888888888888,0.75,BLOCK,Z,0.7141728,0.3902835
5/6/7/4/6/5/7/7/7 3 3,Z,2,0.5,BLOCK,Z,0.9173478,0.5851242
5/6/7/6/4/5/7/7/7 3 3,X,2,0.5,BLOCK,X,0.8718989,0.6646088
5/6/7/6/6/1/7/7/7 3 3,Z,-2,0.25,BLOCK,Z,1.304315,1.022078
1/6/7/6/6/3/7/7/7 3 3,X,-2.1,0.75,PLANE,X,0.8537062,0.6197179
5/4/7/6/6/3/7/7/7 3 3,Z,2,1,BLOCK,Z,0.781258,0.4562484
5/6/7/4/6/3/7/7/7 3 3,Z,2.1538461538461538461538461538,0.25,BLOCK,Z,1.144421,0.7405838
5/6/7/6/4/3/7/7/7 3 3,X,2,0.5,BLOCK,X,0.9470409,0.6489456
1/6/7/6/6/7/6/7/7 3 3,X,-2.2,0.75,PLANE,X,0.9248396,0.5682334
5/4/7/6/6/7/6/7/7 3 3,Z,1.8888888888888888888888888888,0.75,BLOCK,Z,0.7528572,0.414534
5/6/7/4/6/7/6/7/7 3 3,Z,2,0.75,BLOCK,Z,0.9188998,0.6370081
5/6/7/6/4/7/6/7/7 3 3,X,1.8181818181818181818181818182,0.75,BLOCK,X,0.893714,0.5176082
5/6/7/6/6/7/4/7/7 3 3,X,2,0.5,BLOCK,X,1.41974,0.8418317
1/6/7/6/6/7/5/7/7 3 3,X,-2.1,0.5,PLANE,X,0.8755692,0.6785726
5/4/7/6/6/7/5/7/7 3 3,Z,1.8888888888888888888888888888,1,BLOCK,Z,0.7565823,0.5002029
5/6/7/4/6/7/5/7/7 3 3,Z,2,0.5,BLOCK,Z,0.8421325,0.5858212
5/6/7/6/4/7/5/7/7 3 3,X,2,0.5,BLOCK,X,0.9233298,0.7001716
5/6/7/6/6/7/1/7/7 3 3,X,-2,0.25,BLOCK,X,1.377622,0.7416735
1/6/7/6/6/7/3/7/7 3 3,X,-2,0.75,PLANE,X,0.8710151,0.5991786
5/4/7/6/6/7/3/7/7 3 3,Z,1.8888888888888888888888888888,0.75,BLOCK,Z,0.7371277,0.469734
5/6/7/4/6/7/3/7/7 3 3,Z,2,0.75,BLOCK,Z,0.8394758,0.5785748
5/6/7/6/4/7/3/7/7 3 3,X,2.1818181818181818181818181818,0.25,BLOCK,X,1.366177,0.7260401
1/6/7/6/6/7/7/6/7 3 3,X,-2.1,0.5,PLANE,X,0.8810701,0.7037106
5/4/7/6/6/7/7/6/7 3 3,Z,1.7777777777777777777777777778,0.75,BLOCK,Z,0.7369734,0.4296332
5/6/7/4/6/7/7/6/7 3 3,Z,1.8461538461538461538461538462,0.5,BLOCK,Z,0.9114335,0.5498419
5/6/7/6/4/7/7/6/7 3 3,X,2,0.5,BLOCK,X,0.9556492,0.6797115
5/6/7/6/6/7/7/4/7 3 3,Z,2,0.5,BLOCK,Z,1.686012,1.059147
1/6/7/6/6/7/7/5/7 3 3,X,-2.1,0.5,PLANE,X,0.9269928,0.517957
5/4/7/6/6/7/7/5/7 3 3,Z,1.8888888888888888888888888888,0.75,BLOCK,Z,0.7314455,0.4573419
5/6/7/4/6/7/7/5/7 3 3,Z,2,0.5,BLOCK,Z,0.9020703,0.6116169
5/6/7/6/4/7/7/5/7 3 3,X,2,0.5,BLOCK,X,0.9739709,0.5363061
5/6/7/6/6/7/7/1/7 3 3,Z,-2,0.25,BLOCK,Z,1.611298,1.01696
1/6/7/6/6/7/7/3/7 3 3,X,-2.1,0.75,PLANE,X,0.881757,0.6379834
5/4/7/6/6/7/7/3/7 3 3,Z,2,0.75,BLOCK,Z,0.7786279,0.4302321
5/6/7/4/6/7/7/3/7 3 3,Z,2.1538461538461538461538461538,0.5,BLOCK,Z,0.9018673,0.7369187
5/6/7/6/4/7/7/3/7 3 3,X,2,0.25,BLOCK,X,0.9507071,0.6746181
1/6/7/6/6/7/7/7/6 3 3,X,-2.2,0.75,PLANE,X,0.8003342,0.6001097
5/4/7/6/6/7/7/7/6 3 3,Z,1.8888888888888888888888888888,0.75,BLOCK,Z,0.7072297,0.3773244
5/6/7/4/6/7/7/7/6 3 3,Z,2,0.5,BLOCK,Z,0.8999313,0.6038834
5/6/7/6/4/7/7/7/6 3 3,X,1.8181818181818181818181818182,0.5,BLOCK,X,0.9356229,0.6621874
1/6/7/6/6/7/7/7/5 3 3,X,-2.1,0.5,PLANE,X,0.8602659,0.6275116
5/4/7/6/6/7/7/7/5 3 3,Z,1.8888888888888888888888888888,0.75,BLOCK,Z,0.7829272,0.4428937
5/6/7/4/6/7/7/7/5 3 3,Z,2,0.5,BLOCK,Z,0.910762,0.605189
5/6/7/6/4/7/7/7/5 3 3,X,2,0.25,BLOCK,X,0.9622843,0.585209
1/6/7/6/6/7/7/7/3 3 3,X,-2,0.75,PLANE,X,0.9539554,0.627732
5/4/7/6/6/7/7/7/3 3 3,Z,1.8888888888888888888888888888,0.75,BLOCK,Z,0.7730759,0.4491155
