board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
6/7/1/7/3/7/5/7/3 3 3,X,-1.7333333333333333333333333332,0.25,BLOCK,X,0.7380735,1.300232
6/7/5/7/3/7/1/7/3 3 3,X,-1.6,0.5,BLOCK,X,1.322814,0.9699029
4/7/5/7/3/7/3/6/7 3 3,X,2.2,0.75,PLANE,X,0.8106809,0.605369
6/7/1/7/3/7/3/6/7 3 3,X,-1.7333333333333333333333333332,0.25,BLOCK,X,0.7424109,1.187109
6/7/5/7/3/7/3/4/7 3 3,Z,2,0.25,BLOCK,Z,1.571338,1.148443
4/7/5/7/3/7/3/5/7 3 3,X,2.2,0.5,PLANE,X,0.9229617,0.6140771
6/7/1/7/3/7/3/5/7 3 3,X,-1.7333333333333333333333333332,0.25,BLOCK,X,0.8083282,1.156075
6/7/5/7/3/7/3/1/7 3 3,Z,-2,0.5,BLOCK,Z,1.637503,1.212499
4/7/5/7/3/7/3/3/7 3 3,X,2.2,0.75,PLANE,X,0.9248988,0.5691358
6/7/1/7/3/7/3/3/7 3 3,X,-1.7333333333333333333333333332,0.25,BLOCK,X,0.7883407,1.227073
4/7/5/7/3/7/3/7/6 3 3,X,2.0999999999999999999999999998,0.75,PLANE,X,0.9347157,0.6440774
6/7/1/7/3/7/3/7/6 3 3,X,-1.8666666666666666666666666668,0.5,BLOCK,X,0.9419127,1.322723
4/7/5/7/3/7/3/7/5 3 3,X,2.2,0.75,PLANE,X,0.8481551,0.5879861
6/7/1/7/3/7/3/7/5 3 3,X,-1.7333333333333333333333333332,0.25,BLOCK,X,0.7754772,1.18701
4/7/5/7/3/7/3/7/3 3 3,X,2.3,1,PLANE,X,0.7574155,0.5092022
6/7/1/7/3/7/3/7/3 3 3,X,-1.6,0.5,BLOCK,X,0.9088597,1.379693
4/7/5/7/3/7/7/2/7 3 3,X,2.0999999999999999999999999998,0.75,PLANE,X,1.033583,0.6212286
6/7/1/7/3/7/7/2/7 3 3,X,-1.8666666666666666666666666668,0.25,BLOCK,X,0.6885137,1.169666
4/7/5/7/3/7/7/6/6 3 3,X,2,0.5,PLANE,X,0.9597164,0.7467899
6/7/1/7/3/7/7/6/6 3 3,X,-2,0.25,BLOCK,X,0.7927031,1.145694
6/7/5/7/3/7/7/4/6 3 3,Z,2,0.5,BLOCK,Z,1.651539,1.034601
4/7/5/7/3/7/7/6/5 3 3,X,2.0999999999999999999999999998,0.75,PLANE,X,0.9412531,0.5930014
6/7/1/7/3/7/7/6/5 3 3,X,-1.8666666666666666666666666668,0.25,BLOCK,X,0.8358911,1.222652
6/7/5/7/3/7/7/4/5 3 3,Z,2,0.25,BLOCK,Z,1.677583,0.9703187
4/7/5/7/3/7/7/6/3 3 3,X,2.2,0.75,PLANE,X,0.8466865,0.5792289
6/7/1/7/3/7/7/6/3 3 3,X,-1.7333333333333333333333333332,0.25,BLOCK,X,0.9472014,1.212291
6/7/5/7/3/7/7/4/3 3 3,Z,2,0.5,BLOCK,Z,1.613824,1.068283
4/7/5/7/3/7/7/5/6 3 3,X,2,0.75,PLANE,X,0.997969,0.6613614
6/7/1/7/3/7/7/5/6 3 3,X,-2,0.25,BLOCK,X,0.8929402,1.29965
6/7/5/7/3/7/7/1/6 3 3,Z,-2,0.5,BLOCK,Z,1.643199,0.93335
4/7/5/7/3/7/7/5/5 3 3,X,2.0999999999999999999999999998,0.75,PLANE,X,0.9058445,0.658289
6/7/1/7/3/7/7/5/5 3 3,X,-1.8666666666666666666666666668,0.5,BLOCK,X,0.8065007,1.298602
6/7/5/7/3/7/7/1/5 3 3,Z,-2,0.5,BLOCK,Z,1.685251,0.989657
4/7/5/7/3/7/7/5/3 3 3,X,2.2,0.75,PLANE,X,0.8038976,0.5474406
6/7/1/7/3/7/7/5/3 3 3,X,-1.7333333333333333333333333332,0.25,BLOCK,X,0.8477225,1.340322
6/7/5/7/3/7/7/1/3 3 3,Z,-2,0.5,BLOCK,Z,1.621301,1.041485
4/7/5/7/3/7/7/3/6 3 3,X,2,0.5,PLANE,X,0.9171335,0.7254632
6/7/1/7/3/7/7/3/6 3 3,X,-2,0.25,BLOCK,X,0.9849049,1.350826
4/7/5/7/3/7/7/3/5 3 3,X,2.0999999999999999999999999998,0.75,PLANE,X,0.89471,0.643901
6/7/1/7/3/7/7/3/5 3 3,X,-1.8666666666666666666666666668,0.5,BLOCK,X,0.8507442,1.232699
4/7/5/7/3/7/7/3/3 3 3,X,2.2,0.75,PLANE,X,0.8063238,0.5933701
6/7/1/7/3/7/7/3/3 3 3,X,-1.7333333333333333333333333332,0.25,BLOCK,X,0.8210299,1.202791
