board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
6/5/7/4/7/7/7/6/6 3 3,Z,1.8461538461538461538461538462,0.75,BLOCK,Z,0.9941584,0.5420741
6/5/7/6/7/7/7/4/6 3 3,Z,2,0.25,BLOCK,Z,1.6201,1.014096
4/5/7/6/7/7/7/6/3 3 3,X,2.1,0.75,PLANE,X,0.6952811,0.5056255
6/1/7/6/7/7/7/6/3 3 3,Z,-2.2222222222222222222222222222,0.5,BLOCK,Z,1.488196,0.7793669
6/5/7/4/7/7/7/6/3 3 3,Z,1.8461538461538461538461538462,0.75,BLOCK,Z,0.9315657,0.55998
6/5/7/6/7/7/7/4/3 3 3,Z,2,0.25,BLOCK,Z,1.60572,1.028077
4/5/7/6/7/7/7/5/6 3 3,X,1.9,0.75,PLANE,X,0.655157,0.3725804
6/1/7/6/7/7/7/5/6 3 3,Z,-2.1111111111111111111111111112,0.5,BLOCK,Z,1.437805,0.6627687
6/5/7/4/7/7/7/5/6 3 3,Z,2,0.75,BLOCK,Z,0.9740949,0.724089
6/5/7/6/7/7/7/1/6 3 3,Z,-2,0.5,BLOCK,Z,1.641072,1.024466
4/5/7/6/7/7/7/5/5 3 3,X,2,0.75,PLANE,X,0.6968464,0.473696
6/1/7/6/7/7/7/5/5 3 3,Z,-2.1111111111111111111111111112,0.25,BLOCK,Z,1.413274,0.8294715
6/5/7/4/7/7/7/5/5 3 3,Z,2,0.75,BLOCK,Z,0.9899397,0.6620522
6/5/7/6/7/7/7/4/5 3 3,Z,2,0.5,BLOCK,Z,1.612565,1.02562
6/5/7/6/7/7/7/1/5 3 3,Z,-2,0.5,BLOCK,Z,1.56986,0.9447213
4/5/7/6/7/7/7/5/3 3 3,X,2.1,0.75,PLANE,X,0.7363006,0.4806483
6/1/7/6/7/7/7/5/3 3 3,Z,-2.1111111111111111111111111112,0.5,BLOCK,Z,1.767323,0.7903697
6/5/7/4/7/7/7/5/3 3 3,Z,2,0.75,BLOCK,Z,1.019592,0.586951
6/5/7/6/7/7/7/1/3 3 3,Z,-2,0.25,BLOCK,Z,1.541714,1.041686
4/5/7/6/7/7/7/3/6 3 3,X,1.9,1,PLANE,X,0.6733314,0.5000675
6/1/7/6/7/7/7/3/6 3 3,Z,-2,0.25,BLOCK,Z,1.657663,0.7214304
6/5/7/4/7/7/7/3/6 3 3,Z,2.1538461538461538461538461538,0.5,BLOCK,Z,1.031533,0.6175151
4/5/7/6/7/7/7/3/5 3 3,X,2,0.75,PLANE,X,0.6880218,0.4781759
6/1/7/6/7/7/7/3/5 3 3,Z,-2,0.5,BLOCK,Z,1.409598,0.8409812
6/5/7/4/7/7/7/3/5 3 3,Z,2.1538461538461538461538461538,0.5,BLOCK,Z,1.031251,0.6541113
4/5/7/6/7/7/7/3/3 3 3,X,2.1,0.75,PLANE,X,0.7253043,0.5555277
6/1/7/6/7/7/7/3/3 3 3,Z,-2,0.25,BLOCK,Z,1.514284,0.8826452
6/5/7/4/7/7/7/3/3 3 3,Z,2.1538461538461538461538461538,0.5,BLOCK,Z,1.017945,0.6644374
