board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
5/7/7/7/5/3/6/4/7 3 3,Z,2,0,BLOCK,Z,0.5520763,0.4770912
1/7/7/7/5/3/6/5/7 3 3,X,-2.1,1,PLANE,X,0.7758682,0.4337893
5/7/7/7/1/3/6/5/7 3 3,X,-2.2222222222222222222222222222,0,BLOCK,X,0.4457864,0.5170072
5/7/7/7/5/3/4/5/7 3 3,X,2,0.5,BLOCK,X,1.341983,0.8159828
5/7/7/7/5/3/6/1/7 3 3,Z,-2,0,BLOCK,Z,0.5042696,0.5109287
1/7/7/7/5/3/6/3/7 3 3,X,-2.1,1,PLANE,X,0.7231157,0.5083094
5/7/7/7/1/3/6/3/7 3 3,X,-2.2222222222222222222222222222,0.5,BLOCK,X,1.279228,0.8059871
5/7/7/7/5/3/4/3/7 3 3,X,2,0.5,BLOCK,X,1.387722,0.8284419
1/7/7/7/5/3/6/7/6 3 3,X,-2.2,0.5,PLANE,X,0.7612898,0.4982873
5/7/7/7/1/3/6/7/6 3 3,X,-2.4444444444444444444444444444,0.5,BLOCK,X,1.208978,0.7367024
5/7/7/7/5/3/4/7/6 3 3,X,1.6,0.5,BLOCK,X,1.265176,0.7697185
1/7/7/7/5/3/6/7/5 3 3,X,-2.1,0.5,PLANE,X,0.7212719,0.4708633
5/7/7/7/1/3/6/7/5 3 3,X,-2.2222222222222222222222222222,0.5,BLOCK,X,1.285321,0.8644933
5/7/7/7/5/3/4/7/5 3 3,X,2,0.5,BLOCK,X,1.385597,0.832203
1/7/7/7/5/3/6/7/3 3 3,X,-2,1,PLANE,X,0.8079509,0.5735121
5/7/7/7/1/3/6/7/3 3 3,X,-2,0.5,BLOCK,X,1.354728,0.8567503
5/7/7/7/5/3/4/7/3 3 3,X,2.4,0,BLOCK,X,0.5192387,0.7779533
1/7/7/7/5/3/5/6/7 3 3,X,-2,1,PLANE,X,0.6654365,0.4584544
5/7/7/7/1/3/5/6/7 3 3,X,-2,0.5,BLOCK,X,1.099037,0.6363618
5/7/7/7/5/3/1/6/7 3 3,X,-2,0.5,BLOCK,X,1.322815,0.8803089
