board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
6/7/7/3/3/7/1/3/3 3 3,X,-1.5,1,BLOCK,X,1.283387,0.95549
4/7/7/3/3/7/5/7/4 3 3,X,2,1,PLANE,X,0.9983383,0.6935826
6/7/7/3/3/7/1/7/4 3 3,X,-2.5,0,BLOCK,X,0.3636493,0.4415421
4/7/7/3/3/7/5/7/2 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.2791215,0.2219452
6/7/7/3/3/7/1/7/2 3 3,X,-2,0,BLOCK,X,0.3406915,0.409869
4/7/7/3/3/7/5/7/1 3 3,X,2.2105263157894736842105263158,0,PLANE,X,0.5289494,0.3361394
6/7/7/3/3/7/1/7/1 3 3,X,-1.5,0,BLOCK,X,0.4882008,0.4478826
4/7/7/3/3/7/3/2/7 3 3,X,2.2105263157894736842105263158,1,PLANE,X,0.8936039,0.6276512
4/7/7/3/3/7/3/6/6 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.1942112,0.2579233
6/7/7/3/3/7/3/4/6 3 3,Z,2,0,BLOCK,Z,0.6080449,0.5085502
4/7/7/3/3/7/3/6/5 3 3,X,2.2105263157894736842105263158,1,PLANE,X,0.8708188,0.6465633
6/7/7/3/3/7/3/4/5 3 3,Z,2,1,BLOCK,Z,1.626866,0.9239014
4/7/7/3/3/7/3/6/3 3 3,X,2.3157894736842105263157894736,1,PLANE,X,0.8820041,0.5252601
6/7/3/3/3/7/3/6/3 3 3,X,0.7222222222222222222222222222,5,PLANE,X,0.750654,0.4516206
6/7/7/3/3/7/3/4/3 3 3,Z,2,0,BLOCK,Z,0.2039386,0.4438221
4/7/7/3/3/7/3/5/6 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.9015239,0.6521832
6/7/7/3/3/7/3/1/6 3 3,Z,-2,1,BLOCK,Z,1.742339,1.064334
4/7/7/3/3/7/3/5/5 3 3,X,2.2105263157894736842105263158,1,PLANE,X,0.867344,0.6046539
6/7/7/3/3/7/3/1/5 3 3,Z,-2,0,BLOCK,Z,0.3501486,0.587418
4/7/7/3/3/7/3/5/3 3 3,X,2.3157894736842105263157894736,1,PLANE,X,0.7370479,0.5546515
6/6/7/3/3/7/3/5/3 3 3,X,0.6666666666666666666666666666,4,PLANE,X,0.79686,0.4654426
6/7/7/3/3/7/3/1/3 3 3,Z,-2,0,BLOCK,Z,0.3165024,0.6544406
4/7/7/3/3/7/3/3/6 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.908541,0.5487757
4/7/7/3/3/7/3/3/5 3 3,X,2.2105263157894736842105263158,1,PLANE,X,0.8743625,0.5960272
6/3/7/3/3/7/3/3/5 3 3,X,0.6111111111111111111111111111,301,TIMEOUT,Z,0.1428358,0.1007109
4/7/7/3/3/7/3/3/3 3 3,X,2.3157894736842105263157894736,1,PLANE,X,0.8111954,0.543746
4/7/7/3/3/7/3/7/4 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.1631861,0.1345242
4/7/7/3/3/7/3/7/2 3 3,X,2.2105263157894736842105263158,0,PLANE,X,0.1774062,0.1586213
4/7/7/3/3/7/3/7/1 3 3,X,2.3157894736842105263157894736,0,PLANE,X,0.3740386,0.2754659
4/7/7/3/3/7/7/2/6 3 3,X,2,1,PLANE,X,1.06067,0.6574067
4/7/7/3/3/7/7/2/5 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.1457171,0.1211321
4/7/7/3/3/7/7/2/3 3 3,X,2.2105263157894736842105263158,0,PLANE,X,0.1729414,0.134165
4/7/7/3/3/7/7/6/4 3 3,X,2,0,PLANE,X,0.293023,0.2916323
6/7/7/3/3/7/7/4/4 3 3,Z,2,1,BLOCK,Z,1.638426,0.9072455
4/7/7/3/3/7/7/6/2 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.8838798,0.619906
6/7/7/3/3/7/7/4/2 3 3,Z,2,1,BLOCK,Z,1.653818,1.049467
4/7/7/3/3/7/7/6/1 3 3,X,2.2105263157894736842105263158,0,PLANE,X,0.1199011,0.1189023
6/7/7/3/3/7/7/4/1 3 3,Z,2,1,BLOCK,Z,1.601367,1.11889
4/7/7/3/3/7/7/5/4 3 3,X,2,1,PLANE,X,1.012888,0.7395569
6/7/7/3/3/7/7/1/4 3 3,Z,-2,0,BLOCK,Z,0.2027042,0.3680281
4/7/7/3/3/7/7/5/2 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.8984389,0.6317706
6/7/7/3/3/7/7/1/2 3 3,Z,-2,0,BLOCK,Z,0.2664531,0.4194087
4/7/7/3/3/7/7/5/1 3 3,X,2.2105263157894736842105263158,1,PLANE,X,0.7641483,0.5801113
6/7/7/3/3/7/7/1/1 3 3,Z,-2,1,BLOCK,Z,1.591672,1.086484
4/7/7/3/3/7/7/3/4 3 3,X,2,1,PLANE,X,1.034747,0.7048224
4/7/7/3/3/7/7/3/2 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.05872541,0.118963
4/7/7/3/3/7/7/3/1 3 3,X,2.2105263157894736842105263158,0,PLANE,X,0.3761013,0.2507848
4/7/7/3/7/2/2/7/7 3 3,X,2,1,PLANE,X,0.6884626,0.4759122
4/7/7/3/7/2/6/6/7 3 3,X,1.8947368421052631578947368422,0,PLANE,X,0.3576918,0.2538714
6/3/7/3/7/2/6/6/7 3 3,Z,-0.5909090909090909090909090909,301,TIMEOUT,Z,0.1314133,0.09093574
6/7/7/3/7/2/4/6/7 3 3,X,2,1,BLOCK,X,1.404441,0.9735093
6/7/7/3/7/2/6/4/7 3 3,Z,2,1,BLOCK,Z,1.519236,0.8644322
4/7/7/3/7/2/6/5/7 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.6727092,0.5325866
6/7/7/3/7/2/4/5/7 3 3,X,2,0,BLOCK,X,1.488373,0.8927199
6/7/7/3/7/2/6/1/7 3 3,Z,-2,0,BLOCK,Z,0.3936886,0.4554627
4/7/7/3/7/2/6/3/7 3 3,X,1.8947368421052631578947368422,0,PLANE,X,0.1811612,0.1128709
