board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
7/2/6/7/7/4/7/5/5 3 3,Z,2,0,BLOCK,Z,0.676379,0.6526992
7/2/6/7/7/6/7/1/5 3 3,Z,-2,0,BLOCK,Z,0.4732532,0.4956975
7/2/4/7/7/6/7/5/3 3 3,X,2.1333333333333333333333333332,0,BLOCK,X,0.7120953,0.6198587
7/2/2/7/7/6/7/5/3 3 3,Z,0.5,302,TIMEOUT,Z,0.01109999,0.003513402
7/2/6/7/7/4/7/5/3 3 3,Z,2,0,BLOCK,Z,0.402726,0.5634291
7/2/6/7/7/6/7/1/3 3 3,Z,-2,0,BLOCK,Z,0.3203788,0.3601216
7/2/4/7/7/6/7/3/6 3 3,X,1.8666666666666666666666666668,2,BLOCK,X,0.8365473,0.5848486
7/2/6/7/7/4/7/3/6 3 3,Z,2.2857142857142857142857142858,0,BLOCK,Z,0.6172077,0.5585619
7/2/4/7/7/6/7/3/5 3 3,X,2,0,BLOCK,X,0.7547529,0.5073619
7/2/6/7/7/4/7/3/5 3 3,Z,2.2857142857142857142857142858,0,BLOCK,Z,0.4677814,0.4633248
7/2/4/7/7/6/7/3/3 3 3,X,2.1333333333333333333333333332,0,BLOCK,X,0.6845236,0.7412338
7/2/6/7/7/4/7/3/3 3 3,Z,2.2857142857142857142857142858,0,BLOCK,Z,0.2765158,0.3117069
7/2/4/7/7/6/7/7/4 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.5783681,0.4355501
7/2/6/7/7/4/7/7/4 3 3,Z,2,0,BLOCK,Z,0.3171781,0.4029235
7/2/4/7/7/6/7/7/2 3 3,X,2,2,BLOCK,X,0.8614512,0.5633321
7/2/6/7/7/4/7/7/2 3 3,Z,2,0,BLOCK,Z,0.5773105,0.5739707
7/2/2/6/7/6/7/7/5 3 3,Z,0.5,302,TIMEOUT,Z,0.01086362,0.01014541
3/2/6/7/7/6/7/7/1 3 3,X,0.5666666666666666666666666666,302,TIMEOUT,Z,0.08478502,0.0436315
7/2/4/7/7/6/7/7/1 3 3,X,2.1333333333333333333333333332,0,BLOCK,X,0.6848353,0.5020417
7/2/2/7/7/6/7/7/1 3 3,Z,0.5,302,TIMEOUT,Z,0.01461605,0.006986822
7/2/6/7/7/4/7/7/1 3 3,Z,2,0,BLOCK,Z,0.7484763,0.5834628
7/2/4/7/7/5/2/7/7 3 3,X,2,2,BLOCK,X,0.94271,0.5666581
7/2/6/7/7/1/2/7/7 3 3,Z,-2,0,BLOCK,Z,0.3298576,0.3764824
7/2/4/7/7/5/6/6/7 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.6918108,0.3676607
7/2/2/7/7/5/6/6/7 3 3,X,0.5,302,TIMEOUT,Z,0.04833083,0.02574903
7/2/6/7/7/1/6/6/7 3 3,Z,-2.2857142857142857142857142858,2,BLOCK,Z,1.455766,1.024897
7/2/6/7/7/5/4/6/7 3 3,X,2,0,BLOCK,X,0.7877086,0.7426952
7/2/6/7/7/5/6/4/7 3 3,Z,2,2,BLOCK,Z,1.558097,0.982835
7/2/6/7/7/5/6/6/5 3 3,X,0.5,302,TIMEOUT,Z,0.01400808,0.009138077
7/2/4/7/7/5/6/5/7 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.6506706,0.4565616
7/2/6/7/7/1/6/5/7 3 3,Z,-2,2,BLOCK,Z,1.130539,0.8913562
7/2/6/7/7/5/4/5/7 3 3,X,2,0,BLOCK,X,0.4096442,0.6437017
7/2/6/7/7/5/6/1/7 3 3,Z,-2,2,BLOCK,Z,1.58699,0.9301207
7/2/4/7/7/5/6/3/7 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.7225037,0.5880331
7/2/6/7/7/1/6/3/7 3 3,Z,-1.7142857142857142857142857142,0,BLOCK,Z,0.1589858,0.4044451
7/2/6/7/7/5/4/3/7 3 3,X,2,0,BLOCK,X,1.192353,0.7796615
7/2/4/7/7/5/6/7/6 3 3,X,1.7333333333333333333333333334,0,BLOCK,X,0.4273105,0.4244052
7/2/6/7/7/1/6/7/6 3 3,Z,-2,0,BLOCK,Z,1.345164,0.9795915
7/2/6/7/7/5/4/7/6 3 3,X,1.6,0,BLOCK,X,0.4259005,0.5344711
7/2/4/7/7/5/6/7/5 3 3,X,1.8666666666666666666666666668,2,BLOCK,X,0.8658844,0.5458461
7/2/6/7/7/1/6/7/5 3 3,Z,-2,0,BLOCK,Z,0.5073236,0.4425864
7/2/6/7/7/5/4/7/5 3 3,X,2,0,BLOCK,X,0.6953799,0.716811
7/2/4/7/7/5/6/7/3 3 3,X,2,0,BLOCK,X,0.5780858,0.5821072
7/2/6/7/7/1/6/7/3 3 3,Z,-2,0,BLOCK,Z,1.335531,0.9222645
7/2/6/7/7/5/4/7/3 3 3,X,2.4,2,BLOCK,X,1.608647,0.947324
7/2/4/7/7/5/5/6/7 3 3,X,2,2,BLOCK,X,0.7905098,0.7117341
7/2/6/7/7/1/5/6/7 3 3,Z,-2.2857142857142857142857142858,0,BLOCK,Z,0.1937562,0.2823793
7/2/6/7/7/5/1/6/7 3 3,X,-2,2,BLOCK,X,1.405143,0.8960335
7/2/6/7/7/5/5/4/7 3 3,Z,2,0,BLOCK,Z,0.06428012,0.2629596
7/2/4/7/7/5/5/5/7 3 3,X,2,0,BLOCK,X,0.3892264,0.4404062
7/2/6/7/7/1/5/5/7 3 3,Z,-2,0,BLOCK,Z,0.4642664,0.6376492
7/2/6/7/7/5/1/5/7 3 3,X,-2,0,BLOCK,X,0.5050009,0.3932661
7/2/6/7/7/5/5/1/7 3 3,Z,-2,0,BLOCK,Z,0.3253134,0.3925355
7/2/4/7/7/5/5/3/7 3 3,X,2,0,BLOCK,X,0.4543297,0.6020796
7/2/6/7/7/1/5/3/7 3 3,Z,-1.7142857142857142857142857142,0,BLOCK,Z,1.12723,0.836468
7/2/6/7/7/5/1/3/7 3 3,X,-2,2,BLOCK,X,1.397265,0.8623804
7/2/4/7/7/5/5/7/6 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.4997981,0.513309
7/2/6/7/7/1/5/7/6 3 3,Z,-2,2,BLOCK,Z,1.317343,0.9699612
7/2/6/7/7/5/1/7/6 3 3,X,-2.4,0,BLOCK,X,0.3065797,0.455754
7/2/4/7/7/5/5/7/5 3 3,X,2,0,BLOCK,X,0.5031958,0.4690061
7/2/6/7/7/1/5/7/5 3 3,Z,-2,0,BLOCK,Z,0.5194823,0.4057238
7/2/6/7/7/5/1/7/5 3 3,X,-2,0,BLOCK,X,0.3979293,0.3499676
7/2/4/7/7/5/5/7/3 3 3,X,2.1333333333333333333333333332,2,BLOCK,X,0.7782769,0.7144735
7/2/6/7/7/1/5/7/3 3 3,Z,-2,0,BLOCK,Z,1.294318,0.8482186
7/2/6/7/7/5/1/7/3 3 3,X,-1.6,0,BLOCK,X,1.055425,0.700713
7/2/4/7/7/5/3/6/7 3 3,X,2.1333333333333333333333333332,0,BLOCK,X,0.6620911,0.5060464
7/2/6/7/7/1/3/6/7 3 3,Z,-2.2857142857142857142857142858,0,BLOCK,Z,0.2072574,0.3405315
7/2/6/7/7/5/3/4/7 3 3,Z,2,0,BLOCK,Z,0.3889657,0.3443579
7/2/4/7/7/5/3/5/7 3 3,X,2.1333333333333333333333333332,2,BLOCK,X,0.8278363,0.7977655
7/2/6/7/7/1/3/5/7 3 3,Z,-2,0,BLOCK,Z,1.28608,0.9556255
7/2/6/7/7/5/3/1/7 3 3,Z,-2,0,BLOCK,Z,1.116782,0.6058803
7/2/4/7/7/5/3/3/7 3 3,X,2.1333333333333333333333333332,2,BLOCK,X,0.8378899,0.5411053
7/2/6/7/7/1/3/3/7 3 3,Z,-1.7142857142857142857142857142,0,BLOCK,Z,1.195941,0.8671572
7/2/4/7/7/5/3/7/6 3 3,X,2,0,BLOCK,X,0.8013507,0.7356018
7/2/6/7/7/1/3/7/6 3 3,Z,-2,0,BLOCK,Z,0.4973896,0.4536138
7/2/4/7/7/5/3/7/5 3 3,X,2.1333333333333333333333333332,2,BLOCK,X,0.881547,0.6818314
7/2/6/7/7/1/3/7/5 3 3,Z,-2,2,BLOCK,Z,1.281617,0.9078589
7/2/4/7/7/5/3/7/3 3 3,X,2.2666666666666666666666666666,2,BLOCK,X,0.9354137,0.5737089
7/2/6/7/7/1/3/7/3 3 3,Z,-2,0,BLOCK,Z,1.082774,0.9222701
7/2/4/7/7/5/7/2/7 3 3,X,2,0,BLOCK,X,0.5694498,0.3337422
7/2/6/7/7/1/7/2/7 3 3,Z,-2,0,BLOCK,Z,0.1771012,0.365235
7/2/4/7/7/5/7/6/6 3 3,X,1.8666666666666666666666666668,2,BLOCK,X,0.8545125,0.5789328
7/2/6/7/5/5/7/6/6 3 3,Z,0.5,302,TIMEOUT,Z,0.0132809,0.008073488
7/2/6/7/7/1/7/6/6 3 3,Z,-2.2857142857142857142857142858,0,BLOCK,Z,0.4378083,0.5229576
7/2/6/7/7/5/7/4/6 3 3,Z,2,0,BLOCK,Z,0.04431766,0.07196955
7/2/4/7/7/5/7/6/5 3 3,X,2,0,BLOCK,X,0.7210268,0.5010467
7/2/6/7/7/1/7/6/5 3 3,Z,-2.2857142857142857142857142858,0,BLOCK,Z,0.05415695,0.1877267
7/2/6/7/7/5/7/4/5 3 3,Z,2,0,BLOCK,Z,0.1527762,0.25879
7/2/4/7/7/5/7/6/3 3 3,X,2.1333333333333333333333333332,0,BLOCK,X,0.6465884,0.603777
7/2/6/7/7/1/7/6/3 3 3,Z,-2.2857142857142857142857142858,0,BLOCK,Z,0.1480578,0.2003641
7/2/6/7/7/5/7/4/3 3 3,Z,2,0,BLOCK,Z,0.0868125,0.3052206
7/2/4/7/7/5/7/5/6 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.6199762,0.583124
7/2/6/7/7/1/7/5/6 3 3,Z,-2,2,BLOCK,Z,1.230527,0.8368085
7/2/6/7/7/5/7/1/6 3 3,Z,-2,0,BLOCK,Z,0.1080631,0.1136598
7/2/4/7/7/5/7/5/5 3 3,X,2,2,BLOCK,X,0.8331608,0.5695375
7/2/6/7/7/1/7/5/5 3 3,Z,-2,0,BLOCK,Z,0.5841037,0.5758172
7/2/6/7/7/5/7/1/5 3 3,Z,-2,0,BLOCK,Z,0.1062008,0.06933421
7/2/4/7/7/5/7/5/3 3 3,X,2.1333333333333333333333333332,0,BLOCK,X,0.7061873,0.5742999
7/2/6/7/7/1/7/5/3 3 3,Z,-2,0,BLOCK,Z,0.526027,0.2772443
7/2/6/7/7/5/7/1/3 3 3,Z,-2,2,BLOCK,Z,1.634812,1.024823
7/2/4/7/7/5/7/3/6 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.4256905,0.3270223
7/2/2/7/7/5/7/3/6 3 3,Z,-0.5,302,TIMEOUT,Z,0.009406866,0.007008345
7/2/6/7/7/1/7/3/6 3 3,Z,-1.7142857142857142857142857142,0,BLOCK,Z,1.253937,0.9066358
7/2/4/7/7/5/7/3/5 3 3,X,2,0,BLOCK,X,0.6098082,0.4138547
7/2/6/7/7/1/7/3/5 3 3,Z,-1.7142857142857142857142857142,0,BLOCK,Z,0.3325066,0.6547119
6/2/6/7/7/5/7/3/3 3 3,X,0.5666666666666666666666666666,302,TIMEOUT,Z,0.1281724,0.09333055
7/2/4/7/7/5/7/3/3 3 3,X,2.1333333333333333333333333332,0,BLOCK,X,0.6383978,0.4313504
7/2/6/7/7/1/7/3/3 3 3,Z,-1.7142857142857142857142857142,0,BLOCK,Z,0.3900616,0.6508997
7/2/4/7/7/5/7/7/4 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.6531193,0.5292789
7/2/6/7/7/1/7/7/4 3 3,Z,-2,0,BLOCK,Z,0.4946979,0.6070817
7/2/4/7/7/5/7/7/2 3 3,X,2,0,BLOCK,X,0.5155377,0.6220891
7/2/6/7/7/1/7/7/2 3 3,Z,-2,2,BLOCK,Z,1.335393,0.8703736
7/2/4/7/7/5/7/7/1 3 3,X,2.1333333333333333333333333332,0,BLOCK,X,0.719282,0.6013858
7/2/6/7/7/1/7/7/1 3 3,Z,-2,2,BLOCK,Z,1.33531,0.9293038
7/2/4/7/7/3/2/7/7 3 3,X,2,0,BLOCK,X,0.6489148,0.4944757
7/2/4/7/7/3/6/6/7 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.5570762,0.5362113
7/2/6/7/7/3/4/6/7 3 3,X,2,0,BLOCK,X,0.5245204,0.66294
7/2/6/7/7/3/6/4/7 3 3,Z,2,0,BLOCK,Z,0.6342559,0.6172162
7/2/4/7/7/3/6/5/7 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.675141,0.2657505
7/2/6/7/7/3/4/5/7 3 3,X,2,0,BLOCK,X,0.4613071,0.5495978
7/2/6/7/7/3/6/1/7 3 3,Z,-2,0,BLOCK,Z,0.4491636,0.4658656
7/2/4/7/7/3/6/3/7 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.6176991,0.2923005
7/2/6/7/7/3/4/3/7 3 3,X,2,0,BLOCK,X,0.4090529,0.7024585
7/2/4/7/7/3/6/7/6 3 3,X,1.7333333333333333333333333334,0,BLOCK,X,0.5777273,0.2183515
7/2/6/7/7/3/4/7/6 3 3,X,1.6,0,BLOCK,X,0.5346098,0.548447
7/2/4/7/7/3/6/7/5 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.7112684,0.4653449
7/2/2/7/7/3/6/7/5 3 3,Z,-0.5,302,TIMEOUT,Z,0.006283466,0.00199661
7/2/6/7/7/3/4/7/5 3 3,X,2,2,BLOCK,X,1.36506,0.9214588
7/2/4/7/7/3/6/7/3 3 3,X,2,2,BLOCK,X,0.8926532,0.4157638
7/2/2/7/7/3/6/7/3 3 3,X,0.7,302,TIMEOUT,Z,0.01327795,0.005586805
7/2/6/7/7/3/4/7/3 3 3,X,2.4,2,BLOCK,X,1.627622,0.9410797
7/2/4/7/7/3/5/6/7 3 3,X,2,0,BLOCK,X,0.511543,0.5291048
7/2/6/7/7/3/1/6/7 3 3,X,-2,0,BLOCK,X,0.3740959,0.377001
7/2/6/7/7/3/5/4/7 3 3,Z,2,0,BLOCK,Z,0.6201006,0.5434851
7/2/4/7/7/3/5/5/7 3 3,X,2,0,BLOCK,X,0.5293506,0.5702702
7/2/6/7/7/3/1/5/7 3 3,X,-2,0,BLOCK,X,0.7680641,0.432303
7/2/6/7/7/3/5/1/7 3 3,Z,-2,0,BLOCK,Z,0.5693177,0.5450222
