board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
6/7/3/7/4/3/6/5/7 3 3,X,1.7777777777777777777777777778,0,BLOCK,X,0.4586946,0.6496865
6/7/3/7/6/3/4/5/7 3 3,X,2,0,BLOCK,X,0.5715005,0.647422
6/7/3/7/6/3/6/1/7 3 3,Z,-2,0,BLOCK,Z,0.5280702,0.5757161
4/7/3/7/6/3/6/3/7 3 3,X,1.8947368421052631578947368422,1,PLANE,X,1.798273,1.080994
6/7/3/7/4/3/6/3/7 3 3,X,1.7777777777777777777777777778,1,BLOCK,X,0.9395075,0.8162537
6/7/3/7/6/3/4/3/7 3 3,X,2,1,BLOCK,X,1.421633,0.775107
4/7/3/7/6/3/6/7/6 3 3,X,1.7894736842105263157894736842,0,PLANE,X,0.1491763,0.2458446
6/7/3/7/4/3/6/7/6 3 3,X,1.5555555555555555555555555556,0,BLOCK,X,0.4459631,0.4772612
6/7/3/7/6/3/4/7/6 3 3,X,1.6,1,BLOCK,X,1.327057,0.7969692
4/7/3/7/6/3/6/7/5 3 3,X,1.8947368421052631578947368422,0,PLANE,X,0.1149826,0.1982401
6/7/3/7/4/3/6/7/5 3 3,X,1.7777777777777777777777777778,1,BLOCK,X,0.957596,0.9269704
6/7/3/7/6/3/4/7/5 3 3,X,2,0,BLOCK,X,0.6624457,0.5521617
4/7/3/7/6/3/6/7/3 3 3,X,2,1,PLANE,X,1.582961,0.9785823
6/7/3/7/4/3/6/7/3 3 3,X,2,1,BLOCK,X,1.066124,0.9466629
6/7/3/7/6/3/4/7/3 3 3,X,2.4,0,BLOCK,X,0.8354692,0.6710443
4/7/3/7/6/3/5/6/7 3 3,X,2,1,PLANE,X,1.641759,1.122987
6/7/3/7/4/3/5/6/7 3 3,X,2,0,BLOCK,X,0.3550038,0.4165976
6/7/3/7/6/3/1/6/7 3 3,X,-2,1,BLOCK,X,1.409514,0.8869538
6/7/3/7/6/3/5/4/7 3 3,Z,2,0,BLOCK,Z,1.31274,0.5721684
4/7/3/7/6/3/5/5/7 3 3,X,2,0,PLANE,X,0.5330893,0.3853142
6/7/3/7/4/3/5/5/7 3 3,X,2,0,BLOCK,X,0.5939049,0.4493292
6/7/3/7/6/3/1/5/7 3 3,X,-2,0,BLOCK,X,0.6457763,0.5117766
6/7/3/7/6/3/5/1/7 3 3,Z,-2,0,BLOCK,Z,0.4884082,0.5591725
4/7/3/7/6/3/5/3/7 3 3,X,2,0,PLANE,X,0.4773406,0.296652
6/7/3/7/4/3/5/3/7 3 3,X,2,0,BLOCK,X,0.7996572,0.7313063
6/7/3/7/6/3/1/3/7 3 3,X,-2,0,BLOCK,X,0.5919926,0.5473328
4/7/3/7/6/3/5/7/6 3 3,X,1.8947368421052631578947368422,0,PLANE,X,0.4940526,0.3713871
6/7/3/7/4/3/5/7/6 3 3,X,1.7777777777777777777777777778,0,BLOCK,X,0.4103151,0.4613411
6/7/3/7/6/3/1/7/6 3 3,X,-2.4,1,BLOCK,X,1.647273,1.009413
4/7/3/7/6/3/5/7/5 3 3,X,2,1,PLANE,X,1.984627,1.429366
6/7/3/7/4/3/5/7/5 3 3,X,2,0,BLOCK,X,0.630334,0.6198646
6/7/3/7/6/3/1/7/5 3 3,X,-2,0,BLOCK,X,0.4610599,0.4227384
4/7/3/7/6/3/5/7/3 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.2996414,0.275214
6/7/3/7/4/3/5/7/3 3 3,X,2.2222222222222222222222222222,1,BLOCK,X,1.126021,0.9089019
6/7/3/7/6/3/1/7/3 3 3,X,-1.6,0,BLOCK,X,0.6308621,0.5308598
4/7/3/7/6/3/3/6/7 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.1702675,0.1934483
6/7/3/7/4/3/3/6/7 3 3,X,2.2222222222222222222222222222,1,BLOCK,X,1.386544,0.9540814
6/7/3/7/6/3/3/4/7 3 3,Z,2,0,BLOCK,Z,1.527548,0.9078056
4/7/3/7/6/3/3/5/7 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.4509116,0.2650806
6/7/3/7/4/3/3/5/7 3 3,X,2.2222222222222222222222222222,0,BLOCK,X,0.478189,0.3836913
6/7/3/7/6/3/3/1/7 3 3,Z,-2,1,BLOCK,Z,1.635693,1.148792
4/7/3/7/6/3/3/3/7 3 3,X,2.1052631578947368421052631578,1,PLANE,X,1.693502,1.125173
6/7/3/7/4/3/3/3/7 3 3,X,2.2222222222222222222222222222,1,BLOCK,X,1.305385,0.8870842
4/7/3/7/6/3/3/7/6 3 3,X,2,1,PLANE,X,1.883299,1.012966
6/7/3/7/4/3/3/7/6 3 3,X,2,0,BLOCK,X,0.6267505,0.3999577
4/7/3/7/6/3/3/7/5 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.4951086,0.3706603
6/7/3/7/4/3/3/7/5 3 3,X,2.2222222222222222222222222222,0,BLOCK,X,0.9010921,0.6097417
4/7/3/7/6/3/3/7/3 3 3,X,2.2105263157894736842105263158,0,PLANE,X,0.2713533,0.3268842
6/7/3/7/4/3/3/7/3 3 3,X,2.4444444444444444444444444444,0,BLOCK,X,0.6982035,0.6660065
4/7/3/7/6/3/7/2/7 3 3,X,2,1,PLANE,X,2.024588,1.502747
6/7/3/7/4/3/7/2/7 3 3,X,2,0,BLOCK,X,0.4549168,0.5620129
4/7/3/7/6/3/7/6/6 3 3,X,1.8947368421052631578947368422,0,PLANE,X,0.9714429,0.4801988
6/7/3/7/4/3/7/6/6 3 3,X,1.7777777777777777777777777778,0,BLOCK,X,0.6119847,0.6005829
6/7/3/7/6/3/7/4/6 3 3,Z,2,0,BLOCK,Z,0.5262367,0.5107788
4/7/3/7/6/3/7/6/5 3 3,X,2,0,PLANE,X,0.450278,0.3386741
6/7/3/7/4/3/7/6/5 3 3,X,2,1,BLOCK,X,0.9838038,0.8116536
6/7/3/7/6/3/7/4/5 3 3,Z,2,0,BLOCK,Z,1.084394,0.7400976
4/7/3/7/6/3/7/6/3 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.4464384,0.3227462
6/7/3/7/4/3/7/6/3 3 3,X,2.2222222222222222222222222222,1,BLOCK,X,1.096081,0.9077909
6/7/3/7/6/3/7/4/3 3 3,Z,2,1,BLOCK,Z,1.549868,0.9707394
4/7/3/7/6/3/7/5/6 3 3,X,1.8947368421052631578947368422,0,PLANE,X,0.2980452,0.3457716
6/7/3/7/4/3/7/5/6 3 3,X,1.7777777777777777777777777778,0,BLOCK,X,0.4381289,0.4747172
6/7/3/7/6/3/7/1/6 3 3,Z,-2,0,BLOCK,Z,0.3394875,0.4132223
4/7/3/7/6/3/7/5/5 3 3,X,2,1,PLANE,X,1.657059,1.005094
6/7/3/7/4/3/7/5/5 3 3,X,2,0,BLOCK,X,0.5275146,0.5702129
6/7/3/7/6/3/7/1/5 3 3,Z,-2,0,BLOCK,Z,0.4631288,0.5037234
4/7/3/7/6/3/7/5/3 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.2619809,0.3330739
6/7/3/7/4/3/7/5/3 3 3,X,2.2222222222222222222222222222,0,BLOCK,X,0.8046755,0.6287308
6/7/3/7/6/3/7/1/3 3 3,Z,-2,0,BLOCK,Z,0.4184095,0.5446457
4/7/3/7/6/3/7/3/6 3 3,X,1.8947368421052631578947368422,0,PLANE,X,0.5262846,0.3416992
6/7/3/7/4/3/7/3/6 3 3,X,1.7777777777777777777777777778,0,BLOCK,X,0.582683,0.6049169
4/7/3/7/6/3/7/3/5 3 3,X,2,0,PLANE,X,0.1695209,0.2899967
6/7/3/7/4/3/7/3/5 3 3,X,2,1,BLOCK,X,0.9848846,0.7935749
4/7/3/7/6/3/7/3/3 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.3346668,0.2428629
6/7/3/7/4/3/7/3/3 3 3,X,2.2222222222222222222222222222,0,BLOCK,X,0.6400692,0.7368932
