board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
6/3/5/7/7/6/5/1/7 3 3,Z,-2,0,BLOCK,Z,1.084292,0.9736983
4/3/5/7/7/6/5/3/7 3 3,X,2,1,PLANE,X,0.5798521,0.4484489
6/3/1/7/7/6/5/3/7 3 3,X,-2,0,BLOCK,X,0.6075428,1.248491
6/3/5/7/7/4/5/3/7 3 3,Z,2.2857142857142857142857142858,0,BLOCK,Z,0.2125226,0.3841242
6/3/5/7/7/6/1/3/7 3 3,X,-2,0,BLOCK,X,1.11618,0.7794145
6/3/5/7/7/6/5/2/7 3 3,Z,-0.5625,301,TIMEOUT,Z,0.2417323,0.1187185
4/3/5/7/7/6/5/7/5 3 3,X,2,1,PLANE,X,0.6532809,0.4287887
6/3/1/7/7/6/5/7/5 3 3,X,-2,0,BLOCK,X,0.8022537,1.302779
6/3/5/7/6/6/5/7/5 3 3,Z,-0.5625,241,BLOCK,Z,0.7709008,0.6087872
6/3/5/7/7/4/5/7/5 3 3,Z,2,0,BLOCK,Z,0.6024609,0.4461943
6/3/5/7/7/6/4/7/5 3 3,X,2,0,BLOCK,X,0.3550014,0.5499834
6/3/5/7/7/6/1/7/5 3 3,X,-2,1,BLOCK,X,1.391068,1.003076
4/3/5/7/7/6/5/7/3 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.6970121,0.5322382
2/3/5/7/7/6/5/7/3 3 3,Z,-0.5588235294117647058823529411,164,PLANE,X,0.4337769,0.3875668
6/3/1/7/7/6/5/7/3 3 3,X,-1.8666666666666666666666666668,1,BLOCK,X,0.9146506,1.283078
6/3/5/7/6/6/5/7/3 3 3,X,0.6111111111111111111111111111,301,TIMEOUT,Z,0.2571882,0.172751
6/3/5/7/7/4/5/7/3 3 3,Z,2,0,BLOCK,Z,0.4718697,0.5145544
6/3/5/7/7/6/4/7/3 3 3,X,2.4,1,BLOCK,X,1.598569,0.9689119
6/3/5/7/7/6/1/7/3 3 3,X,-1.6,0,BLOCK,X,1.146932,0.8608223
4/3/5/7/7/6/2/7/7 3 3,X,2,1,PLANE,X,0.6608253,0.5104965
6/3/1/7/7/6/2/7/7 3 3,X,-2,1,BLOCK,X,1.011851,1.386022
6/3/5/7/6/6/2/7/7 3 3,Z,-0.5625,301,TIMEOUT,Z,0.1170388,0.08619426
6/3/5/7/7/4/2/7/7 3 3,Z,2,1,BLOCK,Z,1.252699,0.9546127
4/3/5/7/7/6/3/6/7 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.6915228,0.4801898
6/3/1/7/7/6/3/6/7 3 3,X,-1.8666666666666666666666666668,1,BLOCK,X,0.8165268,1.375446
6/3/5/7/7/4/3/6/7 3 3,Z,1.7142857142857142857142857142,0,BLOCK,Z,1.233883,0.984345
6/3/5/7/7/6/3/4/7 3 3,Z,2,0,BLOCK,Z,0.2836741,0.4833673
6/3/5/7/7/6/3/6/3 3 3,Z,-0.625,4,PLANE,X,0.6693077,0.599516
4/3/5/7/7/6/3/5/7 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.8281486,0.433593
6/3/1/7/7/6/3/5/7 3 3,X,-1.8666666666666666666666666668,1,BLOCK,X,0.9097951,1.386413
6/3/5/7/7/4/3/5/7 3 3,Z,2,1,BLOCK,Z,1.266854,0.929929
6/3/5/7/7/6/3/1/7 3 3,Z,-2,0,BLOCK,Z,1.588984,0.9122658
4/3/5/7/7/6/3/3/7 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.6676707,0.5094413
6/3/1/7/7/6/3/3/7 3 3,X,-1.8666666666666666666666666668,0,BLOCK,X,0.5406082,1.144248
6/3/5/6/7/6/3/3/7 3 3,Z,0.6428571428571428571428571429,301,TIMEOUT,Z,0.2326803,0.12696
6/3/5/7/6/6/3/3/7 3 3,Z,0.6428571428571428571428571429,301,TIMEOUT,Z,0.1382873,0.08581808
6/3/5/7/7/4/3/3/7 3 3,Z,2.2857142857142857142857142858,0,BLOCK,Z,0.5151315,0.4354299
4/3/5/7/7/6/3/7/5 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.7546973,0.4389827
6/3/1/7/7/6/3/7/5 3 3,X,-1.8666666666666666666666666668,1,BLOCK,X,0.8814931,1.197408
6/3/5/5/7/6/3/7/5 3 3,Z,-0.5625,301,TIMEOUT,Z,0.2155374,0.1200423
6/3/5/7/7/4/3/7/5 3 3,Z,2,0,BLOCK,Z,0.8236274,0.6123756
4/3/5/7/7/6/3/7/3 3 3,X,2.2105263157894736842105263156,0,PLANE,X,0.7170544,0.2877631
6/3/4/7/7/6/3/7/3 3 3,X,2.2666666666666666666666666666,1,BLOCK,X,0.8811845,0.579381
6/3/1/7/7/6/3/7/3 3 3,X,-1.7333333333333333333333333334,0,BLOCK,X,0.3223443,0.9089432
6/3/5/7/6/6/3/7/3 3 3,X,0.7222222222222222222222222222,301,TIMEOUT,Z,0.1588267,0.1080607
6/3/5/7/3/6/3/7/3 3 3,X,0.6666666666666666666666666667,3,PLANE,X,0.6034015,0.5670371
6/3/5/7/7/4/3/7/3 3 3,Z,2,0,BLOCK,Z,1.039402,0.8315927
4/3/5/7/7/6/7/2/7 3 3,X,2,1,PLANE,X,0.680381,0.4975479
6/3/1/7/7/6/7/2/7 3 3,X,-2,1,BLOCK,X,0.8340508,1.285807
6/3/5/3/7/6/7/2/7 3 3,Z,-0.5833333333333333333333333333,301,TIMEOUT,Z,0.1482536,0.08926365
6/3/5/7/7/4/7/2/7 3 3,Z,2,1,BLOCK,Z,1.334737,1.004099
4/3/5/7/7/6/7/6/6 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.6749281,0.5073555
6/3/1/7/7/6/7/6/6 3 3,X,-2.1333333333333333333333333332,0,BLOCK,X,0.6145763,1.110943
6/3/5/3/7/6/7/6/6 3 3,Z,-0.6666666666666666666666666667,301,TIMEOUT,Z,0.1292291,0.08923917
6/3/5/7/7/4/7/6/6 3 3,Z,1.7142857142857142857142857142,0,BLOCK,Z,1.271956,1.004191
6/3/5/7/7/6/7/4/6 3 3,Z,2,1,BLOCK,Z,1.594312,1.016939
6/3/5/7/7/6/7/6/2 3 3,Z,-0.625,13,PLANE,X,0.6946875,0.4331998
4/3/5/7/7/2/7/5/7 3 3,X,2,1,PLANE,X,0.6602781,0.4911984
6/3/1/7/7/2/7/5/7 3 3,X,-2,0,BLOCK,X,0.2469848,0.9350436
4/3/5/7/7/6/6/5/7 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.6710806,0.5453268
6/3/1/7/7/6/6/5/7 3 3,X,-2.1333333333333333333333333332,0,BLOCK,X,0.594049,0.9653727
6/3/5/7/7/4/6/5/7 3 3,Z,2,0,BLOCK,Z,0.5893326,0.6330709
4/3/5/7/7/6/7/5/6 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.643391,0.5076404
6/3/1/7/7/6/7/5/6 3 3,X,-2.1333333333333333333333333332,0,BLOCK,X,0.6341761,1.165764
6/3/5/6/7/6/7/5/6 3 3,Z,-0.625,17,PLANE,X,0.549904,0.3225347
6/3/5/7/7/4/7/5/6 3 3,Z,2,0,BLOCK,Z,0.4101764,0.4259885
6/3/5/7/7/6/7/1/6 3 3,Z,-2,1,BLOCK,Z,1.674614,1.073678
4/3/5/7/7/6/7/5/5 3 3,X,2,1,PLANE,X,0.696726,0.4449427
6/3/1/7/7/6/7/5/5 3 3,X,-2,1,BLOCK,X,0.9144556,1.318349
6/3/5/7/7/4/7/5/5 3 3,Z,2,0,BLOCK,Z,0.4317988,0.5248994
6/3/5/7/7/6/7/4/5 3 3,Z,2,0,BLOCK,Z,0.2339228,0.3493125
6/3/5/7/7/6/7/1/5 3 3,Z,-2,1,BLOCK,Z,1.598178,1.041471
4/3/5/7/7/6/7/3/6 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.6316237,0.5201878
6/3/1/7/7/6/7/3/6 3 3,X,-2.1333333333333333333333333332,1,BLOCK,X,0.9525731,1.302866
6/3/5/7/7/4/7/3/6 3 3,Z,2.2857142857142857142857142858,0,BLOCK,Z,0.1311082,0.5957218
4/3/5/7/7/6/7/3/5 3 3,X,2,1,PLANE,X,0.751782,0.4740277
6/3/1/7/7/6/7/3/5 3 3,X,-2,0,BLOCK,X,0.6031879,1.101548
6/3/5/7/7/4/7/3/5 3 3,Z,2.2857142857142857142857142858,0,BLOCK,Z,0.1879731,0.3164865
6/3/5/7/7/6/7/3/4 3 3,Z,0.6666666666666666666666666666,301,TIMEOUT,Z,0.1315581,0.08408189
4/3/5/7/7/6/7/3/3 3 3,X,2.1052631578947368421052631578,0,PLANE,X,0.429648,0.3322608
2/3/5/7/7/6/7/3/3 3 3,Z,0.6428571428571428571428571429,301,TIMEOUT,Z,0.1383974,0.1033187
6/3/1/7/7/6/7/3/3 3 3,X,-1.8666666666666666666666666668,1,BLOCK,X,0.9372779,1.318012
6/3/5/7/7/4/7/3/3 3 3,Z,2.2857142857142857142857142858,0,BLOCK,Z,0.4606864,0.4470522
6/3/5/7/7/6/7/1/3 3 3,Z,-2,0,BLOCK,Z,0.7732581,0.9987969
4/3/5/7/7/2/7/7/6 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.7269463,0.5166453
6/3/1/7/7/2/7/7/6 3 3,X,-2.1333333333333333333333333332,1,BLOCK,X,0.9345316,1.382689
6/3/5/3/7/2/7/7/6 3 3,Z,-0.5,301,TIMEOUT,Z,0.1290321,0.09186067
6/3/5/7/5/2/7/7/6 3 3,Z,-0.5,301,TIMEOUT,Z,0.1175448,0.0854791
