board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
3/7/6/7/7/2/1/7/6 3 3,X,-2.4,0,BLOCK,X,0.4217562,0.5324987
3/7/4/7/7/2/5/7/5 3 3,X,2,0,BLOCK,X,0.2273622,0.8307747
3/7/6/7/7/2/1/7/5 3 3,X,-2,0,BLOCK,X,0.6418572,0.5736603
3/7/4/7/7/2/5/7/3 3 3,X,2.1428571428571428571428571428,0,BLOCK,X,0.7521686,1.088949
3/7/6/7/7/2/1/7/3 3 3,X,-1.6,2,BLOCK,X,1.295235,0.8175086
3/7/4/7/7/2/3/6/7 3 3,X,2.1428571428571428571428571428,0,BLOCK,X,0.8533275,1.107201
3/7/6/7/7/2/3/4/7 3 3,Z,2,2,BLOCK,Z,1.562421,0.9573366
3/7/4/7/7/2/3/5/7 3 3,X,2.1428571428571428571428571428,0,BLOCK,X,0.5522503,0.817236
3/7/6/7/7/2/3/1/7 3 3,Z,-2,0,BLOCK,Z,0.5508226,0.4906067
3/7/4/7/7/2/3/3/7 3 3,X,2.1428571428571428571428571428,2,BLOCK,X,0.9544128,1.239399
3/3/6/7/7/2/3/7/6 3 3,X,-0.7,302,TIMEOUT,Z,0.0382429,0.02371873
3/7/4/7/7/2/3/7/6 3 3,X,2,0,BLOCK,X,0.6928722,1.035789
3/7/4/7/7/2/3/7/5 3 3,X,2.1428571428571428571428571428,0,BLOCK,X,0.3912814,0.792065
3/7/4/7/7/2/3/7/3 3 3,X,2.2857142857142857142857142856,0,BLOCK,X,0.2962687,0.7913244
3/7/4/7/7/2/7/2/7 3 3,X,2,0,BLOCK,X,0.4956338,1.009729
3/7/4/7/7/2/7/6/6 3 3,X,1.8571428571428571428571428572,0,BLOCK,X,0.7055979,1.117087
3/7/6/7/7/2/7/4/6 3 3,Z,2,0,BLOCK,Z,0.2439447,0.3756202
3/7/4/7/7/2/7/6/5 3 3,X,2,0,BLOCK,X,0.408875,0.8721435
3/7/6/7/7/2/7/4/5 3 3,Z,2,0,BLOCK,Z,0.47044,0.4982128
3/7/4/7/7/2/7/6/3 3 3,X,2.1428571428571428571428571428,0,BLOCK,X,0.326334,0.6113538
