board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
7/7/5/4/5/7/7/5/4 3 3,Z,2,2,BLOCK,Z,1.002596,0.6233877
7/7/5/6/1/7/7/5/4 3 3,X,-2.2222222222222222222222222222,0,BLOCK,X,0.7529948,0.8227194
7/7/5/6/5/7/7/1/4 3 3,Z,-2,0,BLOCK,Z,0.06002137,0.0858333
7/7/1/6/5/7/7/5/2 3 3,X,-2,0,BLOCK,X,0.8075109,0.4955647
7/7/5/4/5/7/7/5/2 3 3,Z,2,0,BLOCK,Z,0.7045367,0.5926268
7/7/5/6/1/7/7/5/2 3 3,X,-2,0,BLOCK,X,0.8467112,0.869861
7/7/5/6/5/7/7/1/2 3 3,Z,-2,0,BLOCK,Z,0.1329768,0.1477036
7/7/1/6/5/7/7/5/1 3 3,X,-1.8461538461538461538461538462,0,BLOCK,X,0.6570894,0.4790147
7/7/5/4/5/7/7/5/1 3 3,Z,2,0,BLOCK,Z,0.7319944,0.6430547
7/7/5/6/1/7/7/5/1 3 3,X,-1.7777777777777777777777777778,0,BLOCK,X,0.6627449,0.6775509
7/7/5/6/5/7/7/1/1 3 3,Z,-2,0,BLOCK,Z,0.3947718,0.4422349
7/7/1/6/5/7/7/3/4 3 3,X,-2.1538461538461538461538461538,0,BLOCK,X,0.4820816,0.5116953
7/7/5/4/5/7/7/3/4 3 3,Z,2.1818181818181818181818181818,2,BLOCK,Z,1.061435,0.6946183
7/7/5/6/1/7/7/3/4 3 3,X,-2.2222222222222222222222222222,0,BLOCK,X,0.8150522,0.8156569
7/7/1/6/5/7/7/3/2 3 3,X,-2,2,BLOCK,X,1.001121,0.4415837
7/7/5/4/5/7/7/3/2 3 3,Z,2.1818181818181818181818181818,0,BLOCK,Z,0.8080768,0.6475621
7/7/5/6/1/7/7/3/2 3 3,X,-2,0,BLOCK,X,0.7819117,0.7559023
7/7/1/6/5/7/7/3/1 3 3,X,-1.8461538461538461538461538462,2,BLOCK,X,0.8685331,0.5567923
