board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
5/3/6/6/5/1/7/7/7 3 3,Z,-2,0,BLOCK,Z,1.141124,0.6552598
1/3/6/6/5/3/7/7/7 3 3,X,-2.105263157894736842105263158,0,PLANE,X,0.6554978,0.3901819
5/3/4/6/5/3/7/7/7 3 3,X,2,0,BLOCK,X,0.732521,0.4763642
5/3/6/4/5/3/7/7/7 3 3,Z,2.1538461538461538461538461538,1,BLOCK,Z,1.346267,1.367012
5/3/6/6/1/3/7/7/7 3 3,X,-2,0,BLOCK,X,0.6356692,0.6066854
1/3/6/6/5/7/6/7/7 3 3,X,-2.2105263157894736842105263156,0,PLANE,X,0.3472697,0.2332675
5/3/4/6/5/7/6/7/7 3 3,X,1.8666666666666666666666666668,0,BLOCK,X,0.8541762,0.54712
5/3/6/4/5/7/6/7/7 3 3,Z,2,0,BLOCK,Z,0.5723834,0.9466897
5/3/6/6/1/7/6/7/7 3 3,X,-2.1818181818181818181818181818,1,BLOCK,X,1.389382,1.111338
5/3/6/6/5/7/4/7/7 3 3,X,2,0,BLOCK,X,0.5545388,0.7328516
1/3/6/6/5/7/5/7/7 3 3,X,-2.105263157894736842105263158,1,PLANE,X,1.782325,1.027317
5/3/4/6/5/7/5/7/7 3 3,X,2,1,BLOCK,X,0.9117615,0.4488112
5/3/6/4/5/7/5/7/7 3 3,Z,2,1,BLOCK,Z,0.8926852,1.250157
5/3/6/6/1/7/5/7/7 3 3,X,-2,0,BLOCK,X,0.960117,0.8154043
5/3/6/6/5/7/1/7/7 3 3,X,-2,0,BLOCK,X,0.4874461,0.4735669
1/3/6/6/5/7/3/7/7 3 3,X,-2.0000000000000000000000000002,1,PLANE,X,1.652454,1.092138
5/3/4/6/5/7/3/7/7 3 3,X,2.1333333333333333333333333332,0,BLOCK,X,0.3966683,0.4429591
5/3/2/6/5/7/3/7/7 3 3,Z,-0.5625,301,TIMEOUT,Z,0.03362736,0.02461379
5/3/6/4/5/7/3/7/7 3 3,Z,2,0,BLOCK,Z,0.7298695,1.155328
5/3/6/6/1/7/3/7/7 3 3,X,-1.8181818181818181818181818182,0,BLOCK,X,0.3321196,0.6562388
5/3/6/6/5/6/3/7/7 3 3,Z,-0.625,301,TIMEOUT,Z,0.03692599,0.03264149
1/3/6/6/5/7/7/6/7 3 3,X,-2.105263157894736842105263158,0,PLANE,X,0.09597926,0.192897
5/3/4/6/5/7/7/6/7 3 3,X,2,0,BLOCK,X,0.7180591,0.4350225
5/3/6/4/5/7/7/6/7 3 3,Z,1.8461538461538461538461538462,1,BLOCK,Z,0.9361046,1.313999
5/3/6/6/1/7/7/6/7 3 3,X,-2,0,BLOCK,X,0.5379353,0.6614654
5/3/6/6/5/7/7/4/7 3 3,Z,2,1,BLOCK,Z,1.617146,0.942471
1/3/6/6/5/7/7/5/7 3 3,X,-2.105263157894736842105263158,0,PLANE,X,0.5445732,0.2707027
5/3/4/6/5/7/7/5/7 3 3,X,2,1,BLOCK,X,0.848039,0.5611438
5/3/6/4/5/7/7/5/7 3 3,Z,2,0,BLOCK,Z,0.5194493,0.8610851
5/3/6/6/1/7/7/5/7 3 3,X,-2,0,BLOCK,X,0.6813002,0.599474
5/3/6/6/5/7/7/1/7 3 3,Z,-2,1,BLOCK,Z,1.678974,0.9728913
1/3/6/6/5/7/7/3/7 3 3,X,-2.105263157894736842105263158,0,PLANE,X,0.4236657,0.5156799
5/3/4/6/5/7/7/3/7 3 3,X,2,1,BLOCK,X,0.8290879,0.5660873
5/3/6/4/5/7/7/3/7 3 3,Z,2.1538461538461538461538461538,1,BLOCK,Z,1.031743,1.29246
5/3/6/6/1/7/7/3/7 3 3,X,-2,0,BLOCK,X,0.9878672,0.9082231
1/3/6/6/5/7/7/7/6 3 3,X,-2.2105263157894736842105263156,1,PLANE,X,1.731692,1.049092
5/3/4/6/5/7/7/7/6 3 3,X,1.8666666666666666666666666668,1,BLOCK,X,0.8383522,0.492706
5/3/6/4/5/7/7/7/6 3 3,Z,2,0,BLOCK,Z,0.4570878,0.8458539
5/3/6/6/1/7/7/7/6 3 3,X,-2.1818181818181818181818181818,0,BLOCK,X,0.5224705,0.5127113
1/3/6/6/5/7/7/7/5 3 3,X,-2.105263157894736842105263158,1,PLANE,X,1.909116,0.9976549
5/3/4/6/5/7/7/7/5 3 3,X,2,1,BLOCK,X,0.9040589,0.5656602
