board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
6/1/7/5/7/6/7/7/1 3 3,Z,-2.1176470588235294117647058824,0,BLOCK,Z,0.6215276,0.4203254
6/5/7/1/7/6/7/7/1 3 3,Z,-2.1666666666666666666666666666,0,BLOCK,Z,0.4907031,0.6191648
6/5/7/5/7/4/7/7/1 3 3,Z,2,0,BLOCK,Z,1.335514,0.8820853
4/5/7/5/7/5/2/7/7 3 3,X,2,1,PLANE,X,0.6778505,0.4029724
6/1/7/5/7/5/2/7/7 3 3,Z,-2,1,BLOCK,Z,0.7282382,0.5256819
6/5/7/1/7/5/2/7/7 3 3,Z,-2,1,BLOCK,Z,0.9380074,0.5261553
6/5/7/5/7/1/2/7/7 3 3,Z,-2,1,BLOCK,Z,1.200211,0.7549375
4/5/7/5/7/5/6/6/7 3 3,X,1.894736842105263157894736842,1,PLANE,X,0.6370114,0.4428052
6/1/7/5/7/5/6/6/7 3 3,Z,-2.1176470588235294117647058824,1,BLOCK,Z,0.7736022,0.4800603
6/5/7/1/7/5/6/6/7 3 3,Z,-2.1666666666666666666666666666,0,BLOCK,Z,0.8382576,0.5863454
6/5/7/5/7/1/6/6/7 3 3,Z,-2.2857142857142857142857142858,0,BLOCK,Z,0.3261771,0.5336067
6/5/7/5/7/5/4/6/7 3 3,X,2,0,BLOCK,X,0.484908,0.7277848
6/5/7/5/7/5/6/4/7 3 3,Z,2,1,BLOCK,Z,1.645056,1.025518
4/5/7/5/7/5/6/5/7 3 3,X,1.894736842105263157894736842,1,PLANE,X,0.6486821,0.4535773
6/1/7/5/7/5/6/5/7 3 3,Z,-2,1,BLOCK,Z,0.8255363,0.4062741
6/5/7/1/7/5/6/5/7 3 3,Z,-2,1,BLOCK,Z,0.9244325,0.5221825
6/5/7/5/7/1/6/5/7 3 3,Z,-2,1,BLOCK,Z,1.119148,0.7658319
6/5/7/5/7/5/4/5/7 3 3,X,2,0,BLOCK,X,0.4486324,0.6686815
6/5/7/5/7/5/6/1/7 3 3,Z,-2,1,BLOCK,Z,1.623914,1.079982
4/5/7/5/7/5/6/3/7 3 3,X,1.894736842105263157894736842,1,PLANE,X,0.638352,0.4095564
6/1/7/5/7/5/6/3/7 3 3,Z,-1.8823529411764705882352941176,1,BLOCK,Z,0.7256789,0.4384575
6/5/7/1/7/5/6/3/7 3 3,Z,-1.8333333333333333333333333334,1,BLOCK,Z,0.9527877,0.5462359
6/5/7/5/7/1/6/3/7 3 3,Z,-1.7142857142857142857142857142,1,BLOCK,Z,1.011713,0.6473081
6/5/7/5/7/5/4/3/7 3 3,X,2,0,BLOCK,X,0.7243385,0.7952146
4/5/7/5/7/5/6/7/6 3 3,X,1.7894736842105263157894736844,1,PLANE,X,0.6286993,0.4584917
6/1/7/5/7/5/6/7/6 3 3,Z,-2,1,BLOCK,Z,0.8418798,0.3944083
6/5/7/1/7/5/6/7/6 3 3,Z,-2,1,BLOCK,Z,0.9546509,0.5416567
6/5/7/5/7/1/6/7/6 3 3,Z,-2,1,BLOCK,Z,1.177806,0.7596035
6/5/7/5/7/5/4/7/6 3 3,X,1.6,0,BLOCK,X,0.5097877,0.6327968
4/5/7/5/7/5/6/7/5 3 3,X,1.894736842105263157894736842,1,PLANE,X,0.6124969,0.4524345
