board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
4/2/7/7/6/7/5/6/7 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.6446856,0.547337
6/2/7/7/4/7/5/6/7 3 3,X,2,1,BLOCK,X,0.9942464,0.7300941
6/2/7/7/6/7/1/6/7 3 3,X,-2,0,BLOCK,X,0.5947847,0.5251095
6/2/7/7/6/7/5/4/7 3 3,Z,2,1,BLOCK,Z,1.57347,0.9563739
4/2/7/7/6/7/5/5/7 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.7526289,0.439198
6/2/7/7/4/7/5/5/7 3 3,X,2,1,BLOCK,X,1.043742,0.6401094
6/2/7/7/6/3/5/5/7 3 3,X,0.5,301,TIMEOUT,Z,0.09926848,0.07032529
6/2/7/7/6/7/1/5/7 3 3,X,-2,0,BLOCK,X,0.8543103,0.7064776
6/2/7/7/6/7/5/1/7 3 3,Z,-2,0,BLOCK,Z,0.4222939,0.3978213
4/2/7/7/6/7/5/3/7 3 3,X,1.8947368421052631578947368422,0,PLANE,X,0.4731323,0.2808224
6/2/7/7/4/7/5/3/7 3 3,X,2,1,BLOCK,X,0.9353055,0.6493251
6/2/7/7/6/7/1/3/7 3 3,X,-2,0,BLOCK,X,0.8768156,0.8562223
4/2/7/7/6/7/5/7/6 3 3,X,1.789473684210526315789473684,1,PLANE,X,0.6527971,0.42331
6/2/7/7/4/7/5/7/6 3 3,X,1.8,1,BLOCK,X,0.925013,0.7034186
6/2/7/7/6/7/1/7/6 3 3,X,-2.4,0,BLOCK,X,0.6428285,0.6321804
4/2/7/7/6/7/5/7/5 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.6977534,0.4317423
6/2/7/7/4/7/5/7/5 3 3,X,2,0,BLOCK,X,0.6836523,0.5830968
6/2/7/7/6/3/5/7/5 3 3,X,0.5,301,TIMEOUT,Z,0.1213169,0.0807861
6/2/7/7/6/7/1/7/5 3 3,X,-2,0,BLOCK,X,0.8255754,0.6072484
4/2/7/7/6/7/5/7/3 3 3,X,2,0,PLANE,X,0.3333697,0.2281998
6/2/7/7/4/7/5/7/3 3 3,X,2.2,0,BLOCK,X,0.7721369,0.5932055
6/2/7/7/6/7/1/7/3 3 3,X,-1.6,0,BLOCK,X,0.5030027,0.4156614
4/2/7/7/6/6/3/7/7 3 3,X,2.00,1,PLANE,X,0.6877376,0.3995031
6/2/5/7/6/6/3/7/7 3 3,X,0.60,301,TIMEOUT,Z,0.1517745,0.09883285
6/2/7/7/4/6/3/7/7 3 3,X,2.20,1,BLOCK,X,1.311299,0.6365864
6/2/7/7/6/6/3/7/3 3 3,X,0.7222222222222222222222222222,301,TIMEOUT,Z,0.1940246,0.1244724
4/2/7/7/6/7/3/6/7 3 3,X,2,0,PLANE,X,0.2936279,0.152507
6/2/6/7/6/7/3/6/7 3 3,X,0.6,21,PLANE,X,0.5642313,0.4490383
6/2/7/7/4/7/3/6/7 3 3,X,2.2,0,BLOCK,X,0.4290715,0.5527226
6/2/7/7/6/7/3/4/7 3 3,Z,2,0,BLOCK,Z,0.248865,0.4950734
4/2/7/7/6/7/3/5/7 3 3,X,2,1,PLANE,X,0.7080688,0.3607552
6/2/7/7/4/7/3/5/7 3 3,X,2.2,0,BLOCK,X,0.465128,0.6227794
6/2/7/7/6/7/3/1/7 3 3,Z,-2,0,BLOCK,Z,0.3875315,0.4765591
4/2/7/7/6/7/3/3/7 3 3,X,2,0,PLANE,X,0.2477263,0.1413657
6/2/7/7/4/7/3/3/7 3 3,X,2.2,0,BLOCK,X,0.4125889,0.4019533
4/2/7/7/6/7/3/7/6 3 3,X,1.8947368421052631578947368422,1,PLANE,X,0.6888466,0.5405411
6/2/7/7/4/7/3/7/6 3 3,X,2,1,BLOCK,X,1.420464,0.7760538
4/2/7/7/6/7/3/7/5 3 3,X,2,1,PLANE,X,0.6652392,0.3878621
6/2/7/7/4/7/3/7/5 3 3,X,2.2,1,BLOCK,X,1.350689,0.7379289
4/2/7/7/6/7/3/7/3 3 3,X,2.1052631578947368421052631578,1,PLANE,X,0.773298,0.411618
