board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
6/5/6/3/7/4/7/6/7 3 3,Z,1.75,0,BLOCK,Z,0.7193348,0.6873674
6/5/6/3/7/6/7/4/7 3 3,Z,2,0,BLOCK,Z,0.2748883,0.3085958
4/5/6/3/7/6/7/5/7 3 3,X,1.894736842105263157894736842,1,PLANE,X,0.6689689,0.4342684
6/1/6/3/7/6/7/5/7 3 3,Z,-2,1,BLOCK,Z,0.8017573,0.5513843
6/5/4/3/7/6/7/5/7 3 3,X,2,1,BLOCK,X,0.8638937,0.4399278
6/5/6/3/7/4/7/5/7 3 3,Z,2,0,BLOCK,Z,0.8589631,0.6272963
6/5/6/3/7/6/7/1/7 3 3,Z,-2,1,BLOCK,Z,1.536499,0.9889581
4/5/6/3/7/6/7/3/7 3 3,X,1.894736842105263157894736842,0,PLANE,X,0.4212563,0.3119841
6/1/6/3/7/6/7/3/7 3 3,Z,-1.8823529411764705882352941176,0,BLOCK,Z,0.3688101,0.4227824
6/5/4/3/7/6/7/3/7 3 3,X,2,1,BLOCK,X,0.9130849,0.54759
6/5/6/3/7/4/7/3/7 3 3,Z,2.25,1,BLOCK,Z,1.483575,0.9646714
4/5/6/3/7/6/7/7/6 3 3,X,1.7894736842105263157894736844,1,PLANE,X,0.6807122,0.4613735
6/1/6/3/7/6/7/7/6 3 3,Z,-2,0,BLOCK,Z,0.4679593,0.3082559
6/5/4/3/7/6/7/7/6 3 3,X,1.8666666666666666666666666668,1,BLOCK,X,0.8181866,0.4990745
6/5/6/3/7/4/7/7/6 3 3,Z,2,0,BLOCK,Z,0.6330398,0.5048818
4/5/6/3/7/6/7/7/5 3 3,X,1.894736842105263157894736842,0,PLANE,X,0.4681251,0.3910877
6/1/6/3/7/6/7/7/5 3 3,Z,-2,0,BLOCK,Z,0.6198242,0.475568
6/5/4/3/7/6/7/7/5 3 3,X,2,0,BLOCK,X,0.3875061,0.3926441
