pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
2/7/7/7/7/7/7/7/7 3 3,X,0,1.5,SLEEP,0,7,0,1E+16
6/6/7/7/7/7/7/7/7 3 3,X,0.5,5.479996,SLEEP,0,7,0,1E+16
6/5/7/7/7/7/7/7/7 3 3,X,0.5,8.279995,SLEEP,0,7,0,1E+16
6/3/7/7/7/7/7/7/7 3 3,X,0.5,9.5,SLEEP,0,7,0,1E+16
6/7/6/7/7/7/7/7/7 3 3,X,0.5,7.419991,SLEEP,0,7,0,1E+16
6/7/5/7/7/7/7/7/7 3 3,X,0.5,4.660004,SLEEP,0,7,0,1E+16
6/7/3/7/7/7/7/7/7 3 3,X,0.5434782608695652173913043478,6.620003,SLEEP,0,7,0,1E+16
6/7/7/6/7/7/7/7/7 3 3,X,0.5,5.999992,SLEEP,0,7,0,1E+16
6/7/7/5/7/7/7/7/7 3 3,X,0.5,5.900002,SLEEP,0,7,0,1E+16
6/7/7/3/7/7/7/7/7 3 3,X,0.5,7.179993,SLEEP,0,7,0,1E+16
6/7/7/7/6/7/7/7/7 3 3,X,0.5,5.82,SLEEP,0,7,0,1E+16
6/7/7/7/5/7/7/7/7 3 3,X,0.5,7.359993,SLEEP,0,7,0,1E+16
6/7/7/7/3/7/7/7/7 3 3,X,0.5434782608695652173913043478,5.119995,SLEEP,0,7,0,1E+16
6/7/7/7/7/6/7/7/7 3 3,X,0.5,6.419998,SLEEP,0,7,0,1E+16
6/7/7/7/7/5/7/7/7 3 3,X,0.5,6.899994,SLEEP,0,7,0,1E+16
6/7/7/7/7/3/7/7/7 3 3,X,0.5,5.900009,SLEEP,0,7,0,1E+16
6/7/7/7/7/7/6/7/7 3 3,X,0.5,5.240005,SLEEP,0,7,0,1E+16
6/7/7/7/7/7/5/7/7 3 3,X,0.5,6,SLEEP,0,7,0,1E+16
6/7/7/7/7/7/3/7/7 3 3,X,0.5434782608695652173913043478,6.360001,SLEEP,0,7,0,1E+16
6/7/7/7/7/7/7/6/7 3 3,X,0.5,5.73999,SLEEP,0,7,0,1E+16
6/7/7/7/7/7/7/5/7 3 3,X,0.5,4.659988,SLEEP,0,7,0,1E+16
6/7/7/7/7/7/7/3/7 3 3,X,0.5,7.679993,SLEEP,0,7,0,1E+16
6/7/7/7/7/7/7/7/6 3 3,X,0.4565217391304347826086956522,3.199997,SLEEP,0,7,0,1E+16
6/7/7/7/7/7/7/7/5 3 3,X,0.5,8.940002,SLEEP,0,7,0,1E+16
6/7/7/7/7/7/7/7/3 3 3,X,0.5434782608695652173913043478,8.160004,SLEEP,0,7,0,1E+16
5/6/7/7/7/7/7/7/7 3 3,Z,0.5,7.619995,SLEEP,0,7,0,1E+16
5/5/7/7/7/7/7/7/7 3 3,X,0,0.8000031,SLEEP,0,7,0,1E+16
5/3/7/7/7/7/7/7/7 3 3,Z,-0.5,4.300003,SLEEP,0,7,0,1E+16
5/7/6/7/7/7/7/7/7 3 3,X,0.5,2.380005,SLEEP,0,7,0,1E+16
5/7/5/7/7/7/7/7/7 3 3,X,0,0.7400055,SLEEP,0,7,0,1E+16
5/7/3/7/7/7/7/7/7 3 3,X,-0.5,2.899994,SLEEP,0,7,0,1E+16
5/7/7/6/7/7/7/7/7 3 3,Z,0.5,3.37999,SLEEP,0,7,0,1E+16
5/7/7/5/7/7/7/7/7 3 3,X,0,0.7599945,SLEEP,0,7,0,1E+16
5/7/7/3/7/7/7/7/7 3 3,Z,-0.5,2.179993,SLEEP,0,7,0,1E+16
5/7/7/7/6/7/7/7/7 3 3,X,0.5,1.959991,SLEEP,0,7,0,1E+16
5/7/7/7/5/7/7/7/7 3 3,X,0,0.6600037,SLEEP,0,7,0,1E+16
5/7/7/7/3/7/7/7/7 3 3,X,-0.5,1.960007,SLEEP,0,7,0,1E+16
