pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
6/7/7/7/7/7/7/7/7 3 3,X,0.5,9.279997,SLEEP,0,7,0,1E+16
5/7/7/7/7/7/7/7/7 3 3,X,0,0.6999998,SLEEP,0,7,0,1E+16
3/7/7/7/7/7/7/7/7 3 3,X,-0.5,7.319998,SLEEP,0,7,0,1E+16
7/6/7/7/7/7/7/7/7 3 3,Z,0.5,4.159998,SLEEP,0,7,0,1E+16
7/5/7/7/7/7/7/7/7 3 3,X,0,0.4599991,SLEEP,0,7,0,1E+16
7/3/7/7/7/7/7/7/7 3 3,Z,-0.5,4.059999,SLEEP,0,7,0,1E+16
7/7/6/7/7/7/7/7/7 3 3,X,0.5,3.4,SLEEP,0,7,0,1E+16
7/7/5/7/7/7/7/7/7 3 3,X,0,1.18,SLEEP,0,7,0,1E+16
7/7/3/7/7/7/7/7/7 3 3,X,-0.5,3.240002,SLEEP,0,7,0,1E+16
7/7/7/6/7/7/7/7/7 3 3,Z,0.5,3.220001,SLEEP,0,7,0,1E+16
7/7/7/5/7/7/7/7/7 3 3,X,0,0.7799988,SLEEP,0,7,0,1E+16
7/7/7/3/7/7/7/7/7 3 3,Z,-0.5,2.719997,SLEEP,0,7,0,1E+16
7/7/7/7/6/7/7/7/7 3 3,X,0.5,1.259998,SLEEP,0,7,0,1E+16
7/7/7/7/5/7/7/7/7 3 3,X,0,0.4599991,SLEEP,0,7,0,1E+16
7/7/7/7/3/7/7/7/7 3 3,X,-0.5,1.400002,SLEEP,0,7,0,1E+16
7/7/7/7/7/6/7/7/7 3 3,Z,0.5,0.7999992,SLEEP,0,7,0,1E+16
7/7/7/7/7/5/7/7/7 3 3,X,0,0.4599991,SLEEP,0,7,0,1E+16
7/7/7/7/7/3/7/7/7 3 3,Z,-0.5,0.7399979,SLEEP,0,7,0,1E+16
7/7/7/7/7/7/6/7/7 3 3,X,0.5,0.4599991,SLEEP,0,7,0,1E+16
7/7/7/7/7/7/5/7/7 3 3,X,0,0.4599991,SLEEP,0,7,0,1E+16
7/7/7/7/7/7/3/7/7 3 3,X,-0.5,0.7600021,SLEEP,0,7,0,1E+16
7/7/7/7/7/7/7/6/7 3 3,Z,0.5,0.4599991,SLEEP,0,7,0,1E+16
7/7/7/7/7/7/7/5/7 3 3,X,0,0.4599991,SLEEP,0,7,0,1E+16
7/7/7/7/7/7/7/3/7 3 3,Z,-0.5,0.7199974,SLEEP,0,7,0,1E+16
7/7/7/7/7/7/7/7/6 3 3,X,-0.1333333333333333333333333333,0.7400017,SLEEP,0,7,0,1E+16
7/7/7/7/7/7/7/7/5 3 3,X,0,1.040001,SLEEP,0,7,0,1E+16
7/7/7/7/7/7/7/7/3 3 3,X,0.1333333333333333333333333333,0.4599991,SLEEP,0,7,0,1E+16
