4/7/7/7/7/7/7/7/7/7/7/7 4 3,Z,2,0.9800034,PLANE,0.3362638,7,0.2544249,1E+16
1/7/7/7/7/7/7/7/7/7/7/7 4 3,Z,-2,1,PLANE,0.3938397,7,0.3008611,1E+16
3/6/7/7/7/7/7/7/7/7/7/7 4 3,Z,-0.5,3.039993,PLANE,0.4229673,7,0.5008893,1E+16
3/5/7/7/7/7/7/7/7/7/7/7 4 3,Z,-0.5,6.419998,PLANE,0.5033208,7,0.3549486,1E+16
3/3/7/7/7/7/7/7/7/7/7/7 4 3,Z,-0.5,3,BLOCK,0.6663974,7,0.5377163,1E+16
3/7/3/7/7/7/7/7/7/7/7/7 4 3,Z,-0.5,3.820007,BLOCK,0.6405075,7,0.3050468,1E+16
3/7/7/6/7/7/7/7/7/7/7/7 4 3,Z,-0.5,5.519989,PLANE,0.3275723,7,0.3458469,1E+16
3/7/7/5/7/7/7/7/7/7/7/7 4 3,Z,-0.5,5.440002,PLANE,0.4117052,7,0.430036,1E+16
3/7/7/3/7/7/7/7/7/7/7/7 4 3,Z,-0.5,5.52002,PLANE,0.3633851,7,0.4302721,1E+16
3/7/7/7/7/7/6/7/7/7/7/7 4 3,Z,-0.5312499999999999999999999999,6.960022,PLANE,0.3078755,7,0.2141932,1E+16
3/7/7/7/7/7/7/5/7/7/7/7 4 3,Z,-0.5,14.45999,PLANE,0.2954735,7,0.2024416,1E+16
3/7/7/7/7/7/7/7/6/7/7/7 4 3,Z,-0.5312499999999999999999999999,5.5,PLANE,0.4001414,7,0.5233223,1E+16
3/7/7/7/7/7/7/7/7/7/6/7 4 3,Z,-0.5312499999999999999999999999,4.419983,PLANE,0.3630916,7,0.5332046,1E+16
6/6/7/7/7/7/7/7/7/7/7/7 4 3,Z,0.5,6.099976,BLOCK,0.5446684,7,0.5358072,1E+16
7/4/7/7/7/7/7/7/7/7/7/7 4 3,X,2,0.9199829,BLOCK,0.4569053,7,0.2532769,1E+16
7/6/7/6/7/7/7/7/7/7/7/7 4 3,X,0.5,5.179993,BLOCK,0.4338914,7,0.5462926,1E+16
6/5/7/7/7/7/7/7/7/7/7/7 4 3,Z,0.5,4.660034,PLANE,0.3883633,7,0.4906195,1E+16
7/1/7/7/7/7/7/7/7/7/7/7 4 3,X,-2,0.9400024,BLOCK,0.3315649,7,0.2054578,1E+16
6/3/7/7/7/7/7/7/7/7/7/7 4 3,Z,0.5,2.880005,PLANE,0.4982368,7,0.5707121,1E+16
7/3/6/7/7/7/7/7/7/7/7/7 4 3,X,-0.5,4.219971,BLOCK,0.5455326,7,0.5018468,1E+16
7/3/5/7/7/7/7/7/7/7/7/7 4 3,X,-0.5,14.40002,BLOCK,0.5089172,7,0.1654816,1E+16
7/3/3/7/7/7/7/7/7/7/7/7 4 3,X,-0.5,3.080017,BLOCK,0.5670078,7,0.3813182,1E+16
7/3/7/3/7/7/7/7/7/7/7/7 4 3,X,-0.5,4.02002,BLOCK,0.6602633,7,0.5832734,1E+16
7/3/7/7/7/7/7/7/7/7/7/6 4 3,X,-0.534482758620689655172413793,10.41992,BLOCK,0.4245936,7,0.4246945,1E+16
6/7/6/7/7/7/7/7/7/7/7/7 4 3,Z,0.5,4.380005,BLOCK,0.5542624,7,0.4732468,1E+16
7/7/4/7/7/7/7/7/7/7/7/7 4 3,Z,2,0.8800049,BLOCK,0.494065,7,0.3389041,1E+16
6/7/5/7/7/7/7/7/7/7/7/7 4 3,Z,0.5,4.880005,PLANE,0.3193934,7,0.4908533,1E+16
3/7/5/7/7/7/7/7/7/7/7/7 4 3,Z,-0.5,5.099976,PLANE,0.5219257,7,0.4315706,1E+16
7/7/1/7/7/7/7/7/7/7/7/7 4 3,Z,-2,0.8200684,BLOCK,0.6119647,7,0.2618642,1E+16
6/7/3/7/7/7/7/7/7/7/7/7 4 3,Z,0.53125,9.359985,PLANE,0.4727323,7,0.4452259,1E+16
6/7/7/6/7/7/7/7/7/7/7/7 4 3,Z,0.5,7.319946,PLANE,0.2166816,7,0.1800103,1E+16
7/7/3/6/7/7/7/7/7/7/7/7 4 3,Z,-0.5,300.02,TIMEOUT,0.01022975,7,0.004710161,1E+16
7/7/7/4/7/7/7/7/7/7/7/7 4 3,X,2,0.8400879,BLOCK,0.4374573,7,0.3606151,1E+16
6/7/7/5/7/7/7/7/7/7/7/7 4 3,Z,0.5,4.899902,PLANE,0.4488547,7,0.1964759,1E+16
7/7/7/1/7/7/7/7/7/7/7/7 4 3,X,-2,0.8400879,BLOCK,0.3593876,7,0.3674788,1E+16
6/7/7/3/7/7/7/7/7/7/7/7 4 3,Z,0.5,5.02002,PLANE,0.4620563,7,0.3108245,1E+16
6/7/7/7/6/7/7/7/7/7/7/7 4 3,Z,0.5,4.47998,PLANE,0.4370026,7,0.5850937,1E+16
7/7/7/7/4/7/7/7/7/7/7/7 4 3,Z,2,0.5998535,BLOCK,0.4156982,7,0.3351943,1E+16
7/7/7/7/1/7/7/7/7/7/7/7 4 3,Z,-2,0.619873,BLOCK,0.4471634,7,0.4080856,1E+16
6/7/7/7/3/7/7/7/7/7/7/7 4 3,Z,0.5312499999999999999999999999,5,PLANE,0.3925456,7,0.3194617,1E+16
6/7/7/7/7/6/7/7/7/7/7/7 4 3,Z,0.5,4.419922,PLANE,0.3656299,7,0.4215486,1E+16
7/7/7/7/7/4/7/7/7/7/7/7 4 3,X,2,0.5800781,BLOCK,0.4929433,7,0.5426013,1E+16
3/7/7/7/7/5/7/7/7/7/7/7 4 3,Z,-0.5,8.780029,PLANE,0.3678,7,0.312119,1E+16
7/7/7/7/7/1/7/7/7/7/7/7 4 3,X,-2,0.5598145,BLOCK,0.6285015,7,0.4651253,1E+16
7/7/7/7/7/7/4/7/7/7/7/7 4 3,Z,2,0.4599609,BLOCK,0.7406335,7,0.4133874,1E+16
3/7/7/7/7/7/5/7/7/7/7/7 4 3,Z,-0.5,6.23999,PLANE,0.4296975,7,0.3925261,1E+16
7/7/7/7/7/7/1/7/7/7/7/7 4 3,Z,-2,0.4799805,BLOCK,0.8110788,7,0.6148294,1E+16
6/7/7/7/7/7/3/7/7/7/7/7 4 3,Z,0.5312499999999999999999999999,4.819824,PLANE,0.4918925,7,0.3892338,1E+16
6/7/7/7/7/7/7/6/7/7/7/7 4 3,Z,0.5,5.76001,PLANE,0.3996424,7,0.2968388,1E+16
7/7/7/7/7/7/7/4/7/7/7/7 4 3,X,2,0.4599609,BLOCK,0.6580272,7,0.566464,1E+16
6/7/7/7/7/7/7/5/7/7/7/7 4 3,Z,0.5,4.560059,PLANE,0.5451945,7,0.2714381,1E+16
7/7/7/7/7/7/7/1/7/7/7/7 4 3,X,-2,0.4204102,BLOCK,0.8385485,7,0.534973,1E+16
6/7/7/7/7/7/7/3/7/7/7/7 4 3,Z,0.5,11.23975,PLANE,0.3597126,7,0.480205,1E+16
7/7/7/7/7/7/7/7/4/7/7/7 4 3,Z,2,0.4204102,BLOCK,0.6139094,7,0.6219065,1E+16
6/7/7/7/7/7/7/7/5/7/7/7 4 3,Z,0.5,12.5,PLANE,0.2183977,7,0.6090791,1E+16
7/7/7/7/7/7/7/7/1/7/7/7 4 3,Z,-2,0.4199219,BLOCK,0.5924798,7,0.5962962,1E+16
6/7/7/7/7/7/7/7/3/7/7/7 4 3,Z,0.5312499999999999999999999999,6.159668,PLANE,0.4729213,7,0.3533895,1E+16
7/7/7/7/7/7/7/7/7/4/7/7 4 3,X,2,0.3999023,BLOCK,0.3121765,7,0.4630612,1E+16
6/7/7/7/7/7/7/7/7/5/7/7 4 3,Z,0.5,5.459961,PLANE,0.3673152,7,0.2811166,1E+16
7/7/7/7/7/7/7/7/7/1/7/7 4 3,X,-2,0.3999023,BLOCK,0.3043622,7,0.4020251,1E+16
6/7/7/7/7/7/7/7/7/3/7/7 4 3,Z,0.5,5.740234,PLANE,0.3192119,7,0.4125704,1E+16
7/7/7/7/7/7/7/7/7/7/4/7 4 3,Z,2,0.3798828,BLOCK,0.2093538,7,0.370859,1E+16
7/7/7/7/7/7/7/7/7/7/1/7 4 3,Z,-2,0.3798828,BLOCK,0.1489765,7,0.2673152,1E+16
6/7/7/7/7/7/7/7/7/7/3/7 4 3,Z,0.5312499999999999999999999999,3.819824,PLANE,0.414942,7,0.3931508,1E+16
6/7/7/7/7/7/7/7/7/7/7/6 4 3,Z,0.5,13.45996,PLANE,0.5202716,7,0.3689469,1E+16
6/7/7/7/7/7/7/7/7/7/7/5 4 3,Z,0.5,7.42041,PLANE,0.3671576,7,0.3307454,1E+16
6/7/7/7/7/7/7/7/7/7/7/3 4 3,Z,0.5,6.379883,PLANE,0.2413646,7,0.2127994,1E+16
