board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
2/4/7/7/7/7/7/7/7 3 3,Z,2,0.7226563,BLOCK,Z,0.7659155,0.6100572
2/2/7/7/7/7/7/7/7 3 3,X,0,300.0195,TIMEOUT,Z,0.2128493,0.1408945
2/1/7/7/7/7/7/7/7 3 3,Z,-2,0.71875,BLOCK,Z,0.7613212,0.650705
2/7/4/7/7/7/7/7/7 3 3,X,2,0.3398438,BLOCK,X,0.8453113,1.485528
2/7/1/7/7/7/7/7/7 3 3,X,-2,0.3203125,BLOCK,X,0.8603451,1.435941
2/7/7/4/7/7/7/7/7 3 3,Z,2,0.6015625,BLOCK,Z,0.8382735,0.7013674
2/7/7/1/7/7/7/7/7 3 3,Z,-2,0.5625,BLOCK,Z,0.7861309,0.6693882
2/7/7/7/4/7/7/7/7 3 3,X,2,0.3984375,BLOCK,X,1.12743,1.094075
2/7/7/7/1/7/7/7/7 3 3,X,-2,0.3789063,BLOCK,X,1.136537,1.09387
2/7/7/7/7/4/7/7/7 3 3,Z,2,0.4179688,BLOCK,Z,1.179235,0.6614593
2/7/7/7/7/1/7/7/7 3 3,Z,-2,0.421875,BLOCK,Z,1.193383,0.6959009
2/7/7/7/7/7/4/7/7 3 3,X,2,0.3789063,BLOCK,X,1.433237,0.9314215
2/7/7/7/7/7/1/7/7 3 3,X,-2,0.3789063,BLOCK,X,1.426856,0.9648908
2/7/7/7/7/7/7/4/7 3 3,Z,2,0.3789063,BLOCK,Z,1.631181,1.020423
2/7/7/7/7/7/7/1/7 3 3,Z,-2,0.3828125,BLOCK,Z,1.616384,1.017858
4/2/7/7/7/7/7/7/7 3 3,X,2,0.859375,PLANE,X,0.6274682,0.5319066
6/2/7/6/7/7/7/7/7 3 3,X,0.5,300.0195,TIMEOUT,Z,0.2137455,0.1368296
4/6/6/7/7/7/7/7/7 3 3,X,1.909090909090909090909090909,0.8398438,PLANE,X,0.6959749,0.5169815
6/4/6/7/7/7/7/7/7 3 3,Z,2,0.7226563,BLOCK,Z,0.8244359,0.550571
6/6/4/7/7/7/7/7/7 3 3,X,2,0.6796875,BLOCK,X,0.8928246,0.4935828
4/6/5/7/7/7/7/7/7 3 3,X,2,0.8398438,PLANE,X,0.6489943,0.4555572
6/4/5/7/7/7/7/7/7 3 3,Z,2,0.7578125,BLOCK,Z,0.7347521,0.5473369
6/6/1/7/7/7/7/7/7 3 3,X,-2,0.3203125,BLOCK,X,0.9379753,1.512517
4/6/3/7/7/7/7/7/7 3 3,X,2.090909090909090909090909091,0.4023438,PLANE,X,1.892139,1.121994
6/4/3/7/7/7/7/7/7 3 3,Z,2,0.7382813,BLOCK,Z,0.7949665,0.5905508
4/6/7/6/7/7/7/7/7 3 3,X,2,0.8398438,PLANE,X,0.66693,0.4452703
6/4/7/6/7/7/7/7/7 3 3,Z,1.9,0.8007813,BLOCK,Z,0.7038853,0.3933953
6/6/7/4/7/7/7/7/7 3 3,Z,2,0.5976563,BLOCK,Z,0.8905357,0.6301123
4/6/7/5/7/7/7/7/7 3 3,X,2,0.8203125,PLANE,X,0.6690034,0.4864849
6/4/7/5/7/7/7/7/7 3 3,Z,2,0.7617188,BLOCK,Z,0.7234431,0.4340804
6/6/7/1/7/7/7/7/7 3 3,Z,-2,0.34375,BLOCK,Z,0.9658412,1.25264
4/6/7/3/7/7/7/7/7 3 3,X,2,0.8203125,PLANE,X,0.6918369,0.5211421
6/4/7/3/7/7/7/7/7 3 3,Z,2.1,0.421875,BLOCK,Z,1.655465,0.700312
6/6/6/3/7/7/7/7/7 3 3,Z,0.552631578947368421052631579,300.0195,TIMEOUT,Z,0.2925002,0.1475612
4/6/7/7/6/7/7/7/7 3 3,X,1.909090909090909090909090909,0.8398438,PLANE,X,0.6841341,0.4779245
6/4/7/7/6/7/7/7/7 3 3,Z,2,0.78125,BLOCK,Z,0.7375614,0.4523337
6/6/7/7/4/7/7/7/7 3 3,X,2,0.4804688,BLOCK,X,0.9713665,0.643895
4/6/7/7/5/7/7/7/7 3 3,X,2,0.8398438,PLANE,X,0.6631396,0.4631066
6/4/7/7/5/7/7/7/7 3 3,Z,2,0.7421875,BLOCK,Z,0.8125638,0.4438075
6/6/7/7/1/7/7/7/7 3 3,X,-2,0.359375,BLOCK,X,1.117597,1.189751
4/6/7/7/3/7/7/7/7 3 3,X,2.090909090909090909090909091,0.6171875,PLANE,X,0.884454,0.6079376
6/4/7/7/3/7/7/7/7 3 3,Z,2,0.7421875,BLOCK,Z,0.7774791,0.4730429
4/6/7/7/7/6/7/7/7 3 3,X,2,0.8007813,PLANE,X,0.5978355,0.4747913
6/4/7/7/7/6/7/7/7 3 3,Z,1.9,0.7773438,BLOCK,Z,0.7389992,0.4200816
6/6/7/7/7/4/7/7/7 3 3,Z,2,0.4414063,BLOCK,Z,1.165264,0.8441726
4/6/7/7/7/5/7/7/7 3 3,X,2,0.8398438,PLANE,X,0.6786144,0.4802151
6/4/7/7/7/5/7/7/7 3 3,Z,2,0.7382813,BLOCK,Z,0.760459,0.470249
6/6/7/7/7/1/7/7/7 3 3,Z,-2,0.3632813,BLOCK,Z,1.260144,1.01141
4/6/7/7/7/3/7/7/7 3 3,X,2,0.8164063,PLANE,X,0.655008,0.4721349
6/4/7/7/7/3/7/7/7 3 3,Z,2.1,0.640625,BLOCK,Z,0.9287464,0.5067018
4/6/7/7/7/7/6/7/7 3 3,X,1.909090909090909090909090909,0.8398438,PLANE,X,0.6624967,0.4841605
6/4/7/7/7/7/6/7/7 3 3,Z,2,0.71875,BLOCK,Z,0.7094334,0.6223043
6/6/7/7/7/7/4/7/7 3 3,X,2,0.4179688,BLOCK,X,1.41147,0.8877956
4/6/7/7/7/7/5/7/7 3 3,X,2,0.8203125,PLANE,X,0.558243,0.439017
6/4/7/7/7/7/5/7/7 3 3,Z,2,0.7421875,BLOCK,Z,0.8009302,0.5681631
6/6/7/7/7/7/1/7/7 3 3,X,-2,0.359375,BLOCK,X,1.414255,1.015131
4/6/7/7/7/7/3/7/7 3 3,X,2.090909090909090909090909091,0.796875,PLANE,X,0.6903268,0.4997864
6/4/7/7/7/7/3/7/7 3 3,Z,2,0.71875,BLOCK,Z,0.7313159,0.4677289
4/6/7/7/7/7/7/6/7 3 3,X,2,0.8203125,PLANE,X,0.5501946,0.4213996
6/4/7/7/7/7/7/6/7 3 3,Z,1.9,0.78125,BLOCK,Z,0.69836,0.404938
6/6/7/7/7/7/7/4/7 3 3,Z,2,0.4023438,BLOCK,Z,1.643057,1.13163
4/6/7/7/7/7/7/5/7 3 3,X,2,0.8007813,PLANE,X,0.8222852,0.4486797
