board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
7/7/5/3/7/6/7/6/7 3 3,Z,-0.6538461538461538461538461538,3.15625,SLEEP,Z,0.1035467,0.3363536
7/7/5/3/7/6/7/5/7 3 3,Z,-0.5769230769230769230769230769,1.96875,SLEEP,Z,0.04901638,0.3804983
7/7/5/3/7/6/7/3/7 3 3,Z,0.625,0.78125,SLEEP,Z,0.03515933,0.3482075
7/7/5/3/7/6/7/7/6 3 3,Z,-0.5769230769230769230769230769,0.828125,SLEEP,Z,0.03878965,0.3664485
7/7/5/3/7/6/7/7/5 3 3,Z,-0.5769230769230769230769230769,2.4375,SLEEP,Z,0.05925905,0.3233911
7/7/5/3/7/6/7/7/3 3 3,Z,-0.5769230769230769230769230769,3.03125,SLEEP,Z,0.07533057,0.3553841
7/7/5/3/7/5/6/7/7 3 3,Z,-0.5,0.9375,SLEEP,Z,0.08085249,0.333721
7/7/5/3/7/5/5/7/7 3 3,Z,-0.5,2.625,SLEEP,Z,0.06003552,0.323669
7/7/5/3/7/5/3/7/7 3 3,Z,-0.5,2.015625,SLEEP,Z,0.07900333,0.4127523
7/7/5/3/7/5/7/6/7 3 3,Z,-0.5769230769230769230769230769,2.96875,SLEEP,Z,0.07999942,0.3226385
7/7/5/3/7/5/7/5/7 3 3,Z,-0.5,2.421875,SLEEP,Z,0.07645476,0.3465702
7/7/5/3/7/5/7/3/7 3 3,Z,-0.5,1.328125,SLEEP,Z,0.03902669,0.3232342
7/7/5/3/7/5/7/7/6 3 3,Z,-0.5,3.5,SLEEP,Z,0.09435879,0.3649145
7/7/5/3/7/5/7/7/5 3 3,Z,-0.5,2.234375,SLEEP,Z,0.08454277,0.3178021
7/7/5/3/7/5/7/7/3 3 3,Z,-0.5,2.5,SLEEP,Z,0.06222244,0.3184508
7/7/5/3/7/3/6/7/7 3 3,Z,-0.5,2.140625,SLEEP,Z,0.1077783,0.3341863
7/7/5/3/7/3/5/7/7 3 3,Z,-0.5,2.1875,SLEEP,Z,0.09725557,0.3466042
7/7/5/3/7/3/3/7/7 3 3,Z,-0.5,2.734375,SLEEP,Z,0.09589034,0.3605684
7/7/5/3/7/3/7/6/7 3 3,Z,-0.625,2.828125,SLEEP,Z,0.1294823,0.3251627
7/7/5/3/7/3/7/5/7 3 3,Z,-0.5,3.234375,SLEEP,Z,0.09336612,0.3445455
7/7/5/3/7/3/7/3/7 3 3,Z,-0.5,1.328125,SLEEP,Z,0.06413425,0.3193063
7/7/5/3/7/3/7/7/6 3 3,Z,-0.5,0.765625,SLEEP,Z,0.08491873,0.3297142
7/7/5/3/7/3/7/7/5 3 3,Z,-0.5,1.140625,SLEEP,Z,0.08398467,0.3178933
7/7/5/3/7/3/7/7/3 3 3,Z,-0.5,2.90625,SLEEP,Z,0.09938359,0.3168838
7/7/5/3/7/7/2/7/7 3 3,Z,-0.5,2.953125,SLEEP,Z,0.07788813,0.3476344
7/7/5/3/7/7/6/6/7 3 3,Z,-0.5769230769230769230769230769,3.703125,SLEEP,Z,0.1130662,0.3145682
7/7/5/3/7/7/6/5/7 3 3,Z,-0.5,4.078125,SLEEP,Z,0.1019195,0.3153072
