board,cog_axis,cog_value,unity_time,unity_state,unity_axis,unity_mav,unity_mlv
2/6/7/7/7/7/7/7/7 3 3,Z,0.5,5.23999,SLEEP,Z,0.05530616,0.4077773
2/5/7/7/7/7/7/7/7 3 3,X,0,1.140137,SLEEP,Z,0.01042704,0.4231978
2/3/7/7/7/7/7/7/7 3 3,Z,-0.5,11.30005,SLEEP,Z,0.1374015,0.4404081
2/7/6/7/7/7/7/7/7 3 3,X,0.5,1.280029,SLEEP,Z,0.06569791,0.3640161
2/7/5/7/7/7/7/7/7 3 3,X,0,1.780029,SLEEP,Z,0.01744399,0.3720244
2/7/3/7/7/7/7/7/7 3 3,X,-0.5,1.160156,SLEEP,Z,0.04992573,0.4322594
2/7/7/6/7/7/7/7/7 3 3,Z,0.5,1.679932,SLEEP,Z,0.04221451,0.41141
2/7/7/5/7/7/7/7/7 3 3,X,0,2,SLEEP,Z,0.03637482,0.3863222
2/7/7/3/7/7/7/7/7 3 3,Z,-0.5,3.699951,SLEEP,Z,0.06673564,0.3677483
2/7/7/7/6/7/7/7/7 3 3,X,0.5,3.52002,SLEEP,Z,0.05385537,0.3577869
2/7/7/7/5/7/7/7/7 3 3,X,0,2.099854,SLEEP,Z,0.03317032,0.3735609
2/7/7/7/3/7/7/7/7 3 3,X,-0.5,2.060059,SLEEP,Z,0.06092228,0.4338811
2/7/7/7/7/6/7/7/7 3 3,Z,0.5,1.560059,SLEEP,Z,0.05860169,0.3718619
2/7/7/7/7/5/7/7/7 3 3,X,0,1.340088,SLEEP,Z,0.02616313,0.3757858
2/7/7/7/7/3/7/7/7 3 3,Z,-0.5,2,SLEEP,Z,0.05897641,0.3897538
2/7/7/7/7/7/6/7/7 3 3,X,0.5,1.860107,SLEEP,Z,0.06886129,0.3593001
2/7/7/7/7/7/5/7/7 3 3,X,0,1.939941,SLEEP,Z,0.02260797,0.3741622
2/7/7/7/7/7/3/7/7 3 3,X,-0.5,1.97998,SLEEP,Z,0.05986536,0.4237964
2/7/7/7/7/7/7/6/7 3 3,Z,0.5,3.679932,SLEEP,Z,0.03233317,0.3835204
2/7/7/7/7/7/7/5/7 3 3,X,0,1.919922,SLEEP,Z,0.03341707,0.3632214
2/7/7/7/7/7/7/3/7 3 3,Z,-0.5,1.880127,SLEEP,Z,0.03457477,0.3843882
2/7/7/7/7/7/7/7/6 3 3,X,-0.1333333333333333333333333333,3.459961,SLEEP,Z,0.05147341,0.3608724
2/7/7/7/7/7/7/7/5 3 3,X,0,1.639893,SLEEP,Z,0.01984201,0.3438867
2/7/7/7/7/7/7/7/3 3 3,X,0.1333333333333333333333333333,1.879883,SLEEP,Z,0.02248894,0.3535979
6/2/7/7/7/7/7/7/7 3 3,X,0.5,12.35986,SLEEP,Z,0.07153848,0.3884101
6/6/6/7/7/7/7/7/7 3 3,Z,0.5,8.819824,SLEEP,Z,0.122476,0.4858964
6/6/5/7/7/7/7/7/7 3 3,X,0.5,8.680176,SLEEP,Z,0.08073673,0.3902879
6/6/3/7/7/7/7/7/7 3 3,X,0.5454545454545454545454545455,7.300049,SLEEP,Z,0.07138124,0.4492895
