7/3/7/1/3/7/7/7/5 3 3,Z,-2,0.5,BLOCK,0.5277634,7,0.5958031,1E+16
7/3/7/1/3/7/7/7/3 3 3,Z,-2,0.625,BLOCK,0.7367845,7,0.5985256,1E+16
7/3/7/1/7/2/7/7/7 3 3,Z,-2,0.5,BLOCK,0.4212865,7,0.3956608,1E+16
7/3/7/1/7/6/6/7/7 3 3,Z,-2.1538461538461538461538461538,0.375,BLOCK,0.8100836,7,0.8582231,1E+16
7/3/7/5/7/4/6/7/7 3 3,Z,2,0.375,BLOCK,0.4544868,7,0.5274551,1E+16
7/3/7/5/7/6/4/7/7 3 3,X,2,0.375,BLOCK,0.6589497,7,0.7273384,1E+16
7/3/7/1/7/6/5/7/7 3 3,Z,-2.1538461538461538461538461538,0.375,BLOCK,0.5443887,7,0.8029265,1E+16
7/3/7/5/7/4/5/7/7 3 3,Z,2,0.375,BLOCK,0.371715,7,0.4074356,1E+16
7/3/7/5/7/6/1/7/7 3 3,X,-2,0.375,BLOCK,0.4763328,7,0.6657359,1E+16
7/3/7/1/7/6/3/7/7 3 3,Z,-2.1538461538461538461538461538,0.375,BLOCK,0.6154906,7,0.8293772,1E+16
7/3/7/5/7/4/3/7/7 3 3,Z,2,0.375,BLOCK,0.4130749,7,0.5109141,1E+16
7/3/7/1/7/6/7/6/7 3 3,Z,-2.3076923076923076923076923076,0.375,BLOCK,0.4595715,7,0.5804768,1E+16
7/3/7/5/7/4/7/6/7 3 3,Z,1.75,0.375,BLOCK,0.4021007,7,0.4968966,1E+16
7/3/7/5/7/6/7/4/7 3 3,Z,2,0.375,BLOCK,0.3108721,7,0.3120722,1E+16
7/3/7/1/7/6/7/5/7 3 3,Z,-2.1538461538461538461538461538,0.375,BLOCK,0.5442395,7,0.6964508,1E+16
7/3/7/5/7/4/7/5/7 3 3,Z,2,0.375,BLOCK,0.8970858,7,0.6386687,1E+16
7/3/7/5/7/6/7/1/7 3 3,Z,-2,0.25,BLOCK,0.6622774,7,0.7730343,1E+16
7/3/7/1/7/6/7/3/7 3 3,Z,-2.00,0.375,BLOCK,0.7429081,7,0.8898247,1E+16
7/3/7/5/7/4/7/3/7 3 3,Z,2.25,0.25,BLOCK,0.3048923,7,0.3017545,1E+16
7/3/7/1/7/6/7/7/6 3 3,Z,-2.1538461538461538461538461538,0.375,BLOCK,0.5307754,7,0.7499945,1E+16
7/3/7/5/7/4/7/7/6 3 3,Z,2,0.375,BLOCK,0.5465499,7,0.5898661,1E+16
7/3/7/1/7/6/7/7/5 3 3,Z,-2.1538461538461538461538461538,0.375,BLOCK,0.7407461,7,0.6670444,1E+16
7/3/7/5/7/4/7/7/5 3 3,Z,2,0.375,BLOCK,0.4339283,7,0.4662929,1E+16
6/3/7/5/7/6/7/7/3 3 3,Z,-0.5555555555555555555555555555,34,BLOCK,0.01011128,7,0.03345386,1E+16
7/3/7/1/7/6/7/7/3 3 3,Z,-2.1538461538461538461538461538,0.5,BLOCK,0.5581167,7,0.7804002,1E+16
7/3/7/5/7/4/7/7/3 3 3,Z,2,0.375,BLOCK,0.4743265,7,0.2544142,1E+16
7/3/7/1/7/5/6/7/7 3 3,Z,-2,0.625,BLOCK,0.6987367,7,0.5435731,1E+16
7/3/7/5/7/1/6/7/7 3 3,Z,-2,0.375,BLOCK,0.7032385,7,0.8327854,1E+16
7/3/7/5/7/5/4/7/7 3 3,X,2,0.5,BLOCK,1.199618,7,0.9783795,1E+16
7/3/7/1/7/5/5/7/7 3 3,Z,-2,0.625,BLOCK,0.68835,7,0.5290773,1E+16
7/3/7/5/7/1/5/7/7 3 3,Z,-2,0.375,BLOCK,0.5176858,7,0.8092421,1E+16
7/3/7/5/7/5/1/7/7 3 3,X,-2,0.375,BLOCK,0.422509,7,0.633386,1E+16
7/3/7/1/7/5/3/7/7 3 3,Z,-2,0.625,BLOCK,0.4965305,7,0.4163007,1E+16
7/3/7/5/7/1/3/7/7 3 3,Z,-2,0.5,BLOCK,0.4200085,7,0.834961,1E+16
7/3/7/1/7/5/7/6/7 3 3,Z,-2.1538461538461538461538461538,0.625,BLOCK,0.8040859,7,0.5831123,1E+16
7/3/7/5/7/1/7/6/7 3 3,Z,-2.25,0.375,BLOCK,0.3318132,7,0.651772,1E+16
7/3/7/5/7/5/7/4/7 3 3,Z,2,0.375,BLOCK,0.1307855,7,0.2118796,1E+16
7/3/7/1/7/5/7/5/7 3 3,Z,-2,0.625,BLOCK,0.6473182,7,0.5161238,1E+16
7/3/7/5/7/1/7/5/7 3 3,Z,-2,0.5,BLOCK,0.5350035,7,0.8199465,1E+16
7/3/7/5/7/5/7/1/7 3 3,Z,-2,0.375,BLOCK,0.2045946,7,0.3820853,1E+16
7/3/7/1/7/5/7/3/7 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,0.5770222,7,0.3890881,1E+16
7/3/7/5/7/1/7/3/7 3 3,Z,-1.75,0.5,BLOCK,0.3263766,7,0.6237668,1E+16
7/3/7/1/7/5/7/7/6 3 3,Z,-2,0.625,BLOCK,0.6661894,7,0.475724,1E+16
7/3/7/5/7/1/7/7/6 3 3,Z,-2,0.375,BLOCK,0.5788929,7,0.7207877,1E+16
7/3/7/1/7/5/7/7/5 3 3,Z,-2,0.625,BLOCK,0.5478842,7,0.6693153,1E+16
7/3/7/5/7/1/7/7/5 3 3,Z,-2,0.5,BLOCK,0.5392349,7,0.7276269,1E+16
7/3/6/5/7/5/7/7/3 3 3,X,0.5666666666666666666666666666,300.125,TIMEOUT,0.001989229,7,0.001649703,1E+16
7/3/7/1/7/5/7/7/3 3 3,Z,-2,0.625,BLOCK,0.7573603,7,0.4449794,1E+16
7/3/7/5/7/1/7/7/3 3 3,Z,-2,0.5,BLOCK,0.5424109,7,0.7542421,1E+16
7/3/7/1/7/3/6/7/7 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,0.4617171,7,0.3825593,1E+16
7/3/7/5/7/3/4/7/7 3 3,X,2,0.375,BLOCK,0.799582,7,0.829384,1E+16
7/3/7/1/7/3/5/7/7 3 3,Z,-1.8461538461538461538461538462,0.75,BLOCK,0.6413876,7,0.4461722,1E+16
7/3/7/5/7/3/1/7/7 3 3,X,-2,0.375,BLOCK,0.4794891,7,0.622988,1E+16
7/3/7/1/7/3/3/7/7 3 3,Z,-1.8461538461538461538461538462,0.75,BLOCK,0.2796033,7,0.3184721,1E+16
7/3/7/1/7/3/7/6/7 3 3,Z,-2.00,0.625,BLOCK,0.4571163,7,0.3634346,1E+16
7/3/7/5/7/3/7/4/7 3 3,Z,2,0.375,BLOCK,0.1766502,7,0.1316547,1E+16
7/3/7/1/7/3/7/5/7 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,0.4541297,7,0.3948103,1E+16
7/3/7/5/7/3/7/1/7 3 3,Z,-2,0.375,BLOCK,0.5457931,7,0.6994501,1E+16
7/3/7/1/7/3/7/3/7 3 3,Z,-1.6923076923076923076923076924,0.75,BLOCK,0.3295428,7,0.3565299,1E+16
7/3/7/1/7/3/7/7/6 3 3,Z,-1.8461538461538461538461538462,0.75,BLOCK,0.5851548,7,0.4549752,1E+16
7/3/7/1/7/3/7/7/5 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,0.3970498,7,0.5465716,1E+16
7/3/7/1/7/3/7/7/3 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,0.5121104,7,0.5608634,1E+16
7/3/7/1/7/7/2/7/7 3 3,Z,-2,0.625,BLOCK,0.6240329,7,0.5988976,1E+16
7/3/7/1/7/7/6/6/7 3 3,Z,-2.1538461538461538461538461538,0.625,BLOCK,0.7178111,7,0.5197241,1E+16
7/3/7/5/7/7/4/6/7 3 3,X,2,0.5,BLOCK,0.4523245,7,0.7363455,1E+16
7/3/7/5/7/7/6/4/7 3 3,Z,2,0.25,BLOCK,0.07721157,7,0.16222,1E+16
7/3/7/1/7/7/6/5/7 3 3,Z,-2,0.625,BLOCK,0.4950354,7,0.4819068,1E+16
7/3/7/5/7/7/4/5/7 3 3,X,2,0.375,BLOCK,0.4142298,7,0.7037765,1E+16
7/3/7/5/7/7/6/1/7 3 3,Z,-2,0.375,BLOCK,0.2459113,7,0.3830185,1E+16
7/3/7/1/7/7/6/3/7 3 3,Z,-1.8461538461538461538461538462,0.625,BLOCK,0.4897809,7,0.5647866,1E+16
7/3/7/5/7/7/4/3/7 3 3,X,2,0.375,BLOCK,0.5609323,7,0.6289871,1E+16
7/3/7/1/7/7/6/7/6 3 3,Z,-2,0.5,BLOCK,0.606446,7,0.6170272,1E+16
7/3/7/5/7/7/4/7/6 3 3,X,1.6,0.375,BLOCK,0.3533739,7,0.5052952,1E+16
