pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
7/7/6/7/5/3/6/7/3 3 3,X,0.7,3,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/5/6/7 3 3,Z,-0.6428571428571428571428571429,2.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/5/5/7 3 3,X,0.5,1.75,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/5/3/7 3 3,X,0.5,2.375,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/5/7/6 3 3,Z,-0.5,0.75,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/5/7/5 3 3,X,0.5,2.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/5/7/3 3 3,X,0.5714285714285714285714285714,2.625,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/3/6/7 3 3,Z,-0.6428571428571428571428571429,4,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/3/5/7 3 3,X,0.5714285714285714285714285714,2.75,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/3/3/7 3 3,X,0.5714285714285714285714285714,2.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/3/7/6 3 3,X,-0.7,1.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/3/7/5 3 3,X,0.5714285714285714285714285714,3,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/3/7/3 3 3,X,0.6428571428571428571428571428,4,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/2/7 3 3,X,0.5,3,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/6/6 3 3,Z,-0.6428571428571428571428571429,2.125,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/6/5 3 3,Z,-0.6428571428571428571428571429,4.125,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/6/3 3 3,Z,-0.6428571428571428571428571429,3.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/5/6 3 3,Z,-0.5,1.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/5/5 3 3,X,0.5,2.375,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/5/3 3 3,X,0.5714285714285714285714285714,2.625,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/3/6 3 3,Z,-0.5,2.75,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/3/5 3 3,X,0.5,2.25,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/3/3 3 3,X,0.5714285714285714285714285714,3.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/7/4 3 3,Z,-0.5,0.75,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/7/2 3 3,X,0.5,2.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/3/7/7/1 3 3,X,0.5714285714285714285714285714,4.125,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/2/6/7 3 3,X,0.5,2.25,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/2/5/7 3 3,X,0.5,3.75,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/2/3/7 3 3,X,0.5,3.125,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/2/7/6 3 3,X,0.4285714285714285714285714286,1.25,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/2/7/5 3 3,X,0.5,2.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/2/7/3 3 3,X,0.5714285714285714285714285714,4.625,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/6/2/7 3 3,X,0.5,2.25,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/6/6/6 3 3,Z,0.5,0.5,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/6/6/5 3 3,X,0.5,2.25,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/6/6/3 3 3,X,0.75,2.125,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/6/5/6 3 3,X,0.3571428571428571428571428572,0.75,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/6/5/5 3 3,X,0.5,2.875,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/6/5/3 3 3,X,0.75,2.625,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/6/3/6 3 3,Z,-0.5,1,SLEEP,0,7,0,1E+16
7/7/6/7/5/7/6/3/5 3 3,X,0.5,1.75,SLEEP,0,7,0,1E+16
