pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
2/4/6/7/7/7/7/7/7 3 3,Z,2,0.71875,BLOCK,0.4178887,7,0.3772428,1E+16
2/6/4/7/7/7/7/7/7 3 3,X,2,0.34375,BLOCK,0.8262817,7,1.300584,1E+16
2/4/5/7/7/7/7/7/7 3 3,Z,2,0.75,BLOCK,0.6549394,7,0.3687004,1E+16
2/2/5/7/7/7/7/7/7 3 3,X,0,100.0313,BLOCK,0.7160631,7,0.5656055,1E+16
2/6/1/7/7/7/7/7/7 3 3,X,-2,0.3125,BLOCK,0.5581556,7,0.9347763,1E+16
2/4/3/7/7/7/7/7/7 3 3,Z,2,0.75,BLOCK,0.4042552,7,0.3127071,1E+16
2/2/3/7/7/7/7/7/7 3 3,X,-0.5,300.0313,TIMEOUT,0.08869138,7,0.08017904,1E+16
2/4/7/6/7/7/7/7/7 3 3,Z,1.9,0.78125,BLOCK,0.5529185,7,0.3822665,1E+16
2/2/7/6/7/7/7/7/7 3 3,Z,0.5,300.0313,TIMEOUT,0.09555452,7,0.08822718,1E+16
2/6/7/4/7/7/7/7/7 3 3,Z,2,0.5625,BLOCK,0.583725,7,0.6384071,1E+16
2/4/7/5/7/7/7/7/7 3 3,Z,2,0.71875,BLOCK,0.6977108,7,0.2286696,1E+16
2/6/7/1/7/7/7/7/7 3 3,Z,-2,0.3125,BLOCK,0.5558728,7,0.8475369,1E+16
2/4/7/3/7/7/7/7/7 3 3,Z,2.1,0.375,BLOCK,0.7863391,7,0.5457972,1E+16
2/2/7/3/7/7/7/7/7 3 3,Z,-0.5,300.0313,TIMEOUT,0.08704508,7,0.08277711,1E+16
2/4/7/7/6/7/7/7/7 3 3,Z,2,0.71875,BLOCK,0.6703486,7,0.320932,1E+16
2/6/7/7/4/7/7/7/7 3 3,X,2,0.375,BLOCK,0.443745,7,0.7342819,1E+16
2/4/7/7/5/7/7/7/7 3 3,Z,2,0.71875,BLOCK,0.5855232,7,0.2892093,1E+16
2/2/7/7/5/7/7/7/7 3 3,X,0,300.0313,TIMEOUT,0.07896171,7,0.08837545,1E+16
2/6/7/7/1/7/7/7/7 3 3,X,-2,0.375,BLOCK,0.4569387,7,0.6594145,1E+16
2/4/7/7/3/7/7/7/7 3 3,Z,2,0.78125,BLOCK,0.7226704,7,0.3865258,1E+16
2/2/7/7/3/7/7/7/7 3 3,X,-0.5,43.5625,PLANE,0.5748567,7,0.3788885,1E+16
2/4/7/7/7/6/7/7/7 3 3,Z,1.9,0.75,BLOCK,0.5153542,7,0.2204816,1E+16
2/2/7/7/7/6/7/7/7 3 3,Z,0.5,300.0313,TIMEOUT,0.09144439,7,0.08427826,1E+16
2/6/7/7/7/4/7/7/7 3 3,Z,2,0.40625,BLOCK,0.5344558,7,0.5466645,1E+16
2/4/7/7/7/5/7/7/7 3 3,Z,2,0.71875,BLOCK,0.2959397,7,0.09086037,1E+16
2/6/7/7/7/1/7/7/7 3 3,Z,-2,0.375,BLOCK,0.2795807,7,0.3864434,1E+16
2/4/7/7/7/3/7/7/7 3 3,Z,2.1,0.625,BLOCK,0.6711408,7,0.4938503,1E+16
2/4/7/7/7/7/6/7/7 3 3,Z,2,0.71875,BLOCK,0.5506907,7,0.3776395,1E+16
2/6/7/7/7/7/4/7/7 3 3,X,2,0.40625,BLOCK,0.2642071,7,0.3281259,1E+16
2/4/7/7/7/7/5/7/7 3 3,Z,2,0.71875,BLOCK,0.5684295,7,0.4800754,1E+16
2/6/7/7/7/7/1/7/7 3 3,X,-2,0.375,BLOCK,0.3638852,7,0.5093337,1E+16
2/4/7/7/7/7/3/7/7 3 3,Z,2,0.71875,BLOCK,0.5826912,7,0.3401902,1E+16
2/2/7/7/7/7/3/7/7 3 3,X,-0.5,30.84375,PLANE,0.5367452,7,0.3466365,1E+16
2/4/7/7/7/7/7/6/7 3 3,Z,1.9,0.71875,BLOCK,0.3659111,7,0.1537184,1E+16
2/2/7/7/7/7/7/6/7 3 3,Z,0.5,300.0313,TIMEOUT,0.09253141,7,0.1016367,1E+16
2/6/7/7/7/7/7/4/7 3 3,Z,2,0.375,BLOCK,0.243164,7,0.3888856,1E+16
2/4/7/7/7/7/7/5/7 3 3,Z,2,0.71875,BLOCK,0.5340535,7,0.227852,1E+16
2/2/7/7/7/7/7/5/7 3 3,X,0,300.0313,TIMEOUT,0.1156486,7,0.09692723,1E+16
2/6/7/7/7/7/7/1/7 3 3,Z,-2,0.375,BLOCK,0.1229955,7,0.1615008,1E+16
2/4/7/7/7/7/7/3/7 3 3,Z,2.1,0.71875,BLOCK,0.621003,7,0.3862834,1E+16
2/4/7/7/7/7/7/7/6 3 3,Z,2,0.71875,BLOCK,0.4715102,7,0.4984492,1E+16
2/4/7/7/7/7/7/7/5 3 3,Z,2,0.71875,BLOCK,0.6546286,7,0.3312811,1E+16
2/2/7/7/7/7/7/7/5 3 3,X,0,300.0313,TIMEOUT,0.105889,7,0.09253335,1E+16
2/4/7/7/7/7/7/7/3 3 3,Z,2,0.71875,BLOCK,0.4993127,7,0.2902485,1E+16
2/2/7/7/7/7/7/7/3 3 3,X,0.1333333333333333333333333333,300.0313,TIMEOUT,0.1087611,7,0.09101106,1E+16
2/1/6/7/7/7/7/7/7 3 3,Z,-2,0.71875,BLOCK,0.6838405,7,0.4510803,1E+16
2/5/4/7/7/7/7/7/7 3 3,X,2,0.3125,BLOCK,0.5921192,7,1.235604,1E+16
2/1/5/7/7/7/7/7/7 3 3,Z,-2,0.75,BLOCK,0.6293771,7,0.4787845,1E+16
2/5/1/7/7/7/7/7/7 3 3,X,-2,0.3125,BLOCK,0.7243763,7,1.436417,1E+16
2/1/3/7/7/7/7/7/7 3 3,Z,-2,0.71875,BLOCK,0.5899581,7,0.4934832,1E+16
2/1/7/6/7/7/7/7/7 3 3,Z,-2.1,0.375,BLOCK,0.2183394,7,0.9570457,1E+16
2/5/7/4/7/7/7/7/7 3 3,Z,2,0.5625,BLOCK,0.6564315,7,0.5793698,1E+16
2/5/7/6/7/7/7/7/3 3 3,Z,0.5,300.0313,TIMEOUT,0.09345206,7,0.09183723,1E+16
2/1/7/5/7/7/7/7/7 3 3,Z,-2,0.78125,BLOCK,0.5155099,7,0.4204567,1E+16
2/5/7/1/7/7/7/7/7 3 3,Z,-2,0.59375,BLOCK,0.580768,7,0.7636672,1E+16
2/1/7/3/7/7/7/7/7 3 3,Z,-1.9,0.78125,BLOCK,0.4225056,7,0.4018048,1E+16
2/5/7/3/7/7/7/7/3 3 3,Z,-0.5,300.0313,TIMEOUT,0.09223972,7,0.07816344,1E+16
2/1/7/7/6/7/7/7/7 3 3,Z,-2,0.6875,BLOCK,0.4906639,7,0.4480131,1E+16
2/5/7/7/4/7/7/7/7 3 3,X,2,0.375,BLOCK,0.578076,7,0.7197291,1E+16
2/1/7/7/5/7/7/7/7 3 3,Z,-2,0.71875,BLOCK,0.6630397,7,0.3600954,1E+16
2/5/7/7/1/7/7/7/7 3 3,X,-2,0.375,BLOCK,0.363897,7,0.5996563,1E+16
2/1/7/7/3/7/7/7/7 3 3,Z,-2,0.75,BLOCK,0.6294163,7,0.4310161,1E+16
2/1/7/7/7/6/7/7/7 3 3,Z,-2.1,0.625,BLOCK,0.8267544,7,0.3884914,1E+16
2/5/7/7/7/4/7/7/7 3 3,Z,2,0.40625,BLOCK,0.4506529,7,0.6331168,1E+16
2/1/7/7/7/5/7/7/7 3 3,Z,-2,0.71875,BLOCK,0.6070675,7,0.3078411,1E+16
2/5/7/7/7/1/7/7/7 3 3,Z,-2,0.4375,BLOCK,0.4735908,7,0.7411001,1E+16
2/1/7/7/7/3/7/7/7 3 3,Z,-1.9,0.75,BLOCK,0.712602,7,0.4385016,1E+16
2/1/7/7/7/7/6/7/7 3 3,Z,-2,0.71875,BLOCK,0.6832992,7,0.3788294,1E+16
2/5/7/7/7/7/4/7/7 3 3,X,2,0.40625,BLOCK,0.3819624,7,0.3575186,1E+16
2/1/7/7/7/7/5/7/7 3 3,Z,-2,0.71875,BLOCK,0.391638,7,0.3448826,1E+16
2/5/7/7/7/7/1/7/7 3 3,X,-2,0.375,BLOCK,0.4524087,7,0.4956599,1E+16
2/1/7/7/7/7/3/7/7 3 3,Z,-2,0.71875,BLOCK,0.5545117,7,0.3632017,1E+16
2/1/7/7/7/7/7/6/7 3 3,Z,-2.1,0.6875,BLOCK,0.6290635,7,0.4619407,1E+16
2/5/7/7/7/7/7/4/7 3 3,Z,2,0.375,BLOCK,0.1574703,7,0.3341941,1E+16
2/1/7/7/7/7/7/5/7 3 3,Z,-2,0.75,BLOCK,0.5139076,7,0.5035265,1E+16
2/5/7/7/7/7/7/1/7 3 3,Z,-2,0.375,BLOCK,0.1435292,7,0.2474069,1E+16
2/1/7/7/7/7/7/3/7 3 3,Z,-1.9,0.71875,BLOCK,0.7356665,7,0.3271751,1E+16
2/1/7/7/7/7/7/7/6 3 3,Z,-2,0.6875,BLOCK,0.7606056,7,0.3596065,1E+16
2/1/7/7/7/7/7/7/5 3 3,Z,-2,0.6875,BLOCK,0.5666486,7,0.3891724,1E+16
2/1/7/7/7/7/7/7/3 3 3,Z,-2,0.6875,BLOCK,0.6552842,7,0.5510287,1E+16
2/2/6/7/7/7/7/7/7 3 3,X,0.5,300.0313,TIMEOUT,0.1158416,7,0.09004931,1E+16
2/2/7/7/6/7/7/7/7 3 3,X,0.5,67.125,PLANE,0.5549029,7,0.3988284,1E+16
2/3/4/7/7/7/7/7/7 3 3,X,2,0.34375,BLOCK,0.488389,7,1.077081,1E+16
2/3/6/7/7/7/7/7/3 3 3,X,0.5588235294117647058823529412,300.0313,TIMEOUT,0.1086379,7,0.08464472,1E+16
