pos,cog_axis,cog_value,unity_time,unity_state,unity_av,unity_mav,unity_lv,unity_mlv
7/5/6/5/7/7/7/5/3 3 3,X,0.5666666666666666666666666666,4.5,SLEEP,0,7,0,1E+16
7/5/6/5/7/7/7/3/6 3 3,Z,-0.5,2,SLEEP,0,7,0,1E+16
7/5/6/5/7/7/7/3/5 3 3,X,0.5,3.625,SLEEP,0,7,0,1E+16
7/5/6/5/7/7/7/3/3 3 3,X,0.5666666666666666666666666666,3.875,SLEEP,0,7,0,1E+16
7/5/6/5/7/7/7/7/4 3 3,X,0.4333333333333333333333333334,1.5,SLEEP,0,7,0,1E+16
7/5/6/5/7/7/7/7/2 3 3,X,0.5,4.125,SLEEP,0,7,0,1E+16
7/5/6/5/7/7/7/7/1 3 3,X,0.5666666666666666666666666666,3.25,SLEEP,0,7,0,1E+16
7/5/6/3/2/7/7/7/7 3 3,X,0.5,8.125,SLEEP,0,7,0,1E+16
7/5/6/3/6/6/7/7/7 3 3,Z,-0.5769230769230769230769230769,5.625,SLEEP,0,7,0,1E+16
7/5/6/3/6/5/7/7/7 3 3,Z,-0.5,4.625,SLEEP,0,7,0,1E+16
7/5/6/3/6/3/7/7/7 3 3,X,0.5,4.125,SLEEP,0,7,0,1E+16
7/5/6/3/6/7/6/7/7 3 3,Z,-0.5,4,SLEEP,0,7,0,1E+16
7/5/6/3/6/7/5/7/7 3 3,Z,-0.5,4.875,SLEEP,0,7,0,1E+16
7/5/6/3/6/7/3/7/7 3 3,X,0.5909090909090909090909090909,5.375,SLEEP,0,7,0,1E+16
7/5/6/3/6/7/7/6/7 3 3,Z,-0.5769230769230769230769230769,7.5,SLEEP,0,7,0,1E+16
7/5/6/3/6/7/7/5/7 3 3,Z,-0.5,4,SLEEP,0,7,0,1E+16
7/5/6/3/6/7/7/3/7 3 3,X,0.5,5,SLEEP,0,7,0,1E+16
7/5/6/3/6/7/7/7/6 3 3,Z,-0.5,3.75,SLEEP,0,7,0,1E+16
7/5/6/3/6/7/7/7/5 3 3,Z,-0.5,4.75,SLEEP,0,7,0,1E+16
7/5/6/3/6/7/7/7/3 3 3,X,0.5909090909090909090909090909,3.375,SLEEP,0,7,0,1E+16
7/5/6/3/5/6/7/7/7 3 3,Z,-0.5769230769230769230769230769,3.25,SLEEP,0,7,0,1E+16
7/5/6/3/5/5/7/7/7 3 3,X,0.5,14.625,SLEEP,0,7,0,1E+16
7/5/6/3/5/3/7/7/7 3 3,X,0.5,4.875,SLEEP,0,7,0,1E+16
7/5/6/3/5/7/6/7/7 3 3,Z,-0.5,9.625,SLEEP,0,7,0,1E+16
7/5/6/3/5/7/5/7/7 3 3,X,0.5,4.625,SLEEP,0,7,0,1E+16
7/5/6/3/5/7/3/7/7 3 3,X,0.5666666666666666666666666666,6.25,SLEEP,0,7,0,1E+16
7/5/6/3/5/7/7/6/7 3 3,Z,-0.5769230769230769230769230769,5.5,SLEEP,0,7,0,1E+16
7/5/6/3/5/7/7/5/7 3 3,X,0.5,5.375,SLEEP,0,7,0,1E+16
7/5/6/3/5/7/7/3/7 3 3,X,0.5,5.125,SLEEP,0,7,0,1E+16
7/5/6/3/5/7/7/7/6 3 3,Z,-0.5,2.75,SLEEP,0,7,0,1E+16
7/5/6/3/5/7/7/7/5 3 3,X,0.5,4.875,SLEEP,0,7,0,1E+16
